河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.82,,0.63,25300,--,--,--,2021-09-02 22:00
,武隆,175.92,,-0.10,2590,--,--,--,2021-09-02 22:00
,宜昌,47.75,,-0.06,28900,52.00,53.00,55.73,2021-09-02 22:00
,枝城,43.92,,-0.10,28900,48.00,49.00,51.75,2021-09-02 22:00
,沙市,39.25,,-0.05,24900,42.00,43.00,45.00,2021-09-02 22:00
,监利,33.38,,-0.07,23400,34.50,35.70,37.23,2021-09-02 22:00
,莲花塘,30.32,,0.00,,--,32.50,34.40,2021-09-02 22:00
,螺山,29.34,,-0.03,36300,31.00,32.00,34.01,2021-09-02 22:00
,汉口,24.61,,0.03,43800,25.00,27.30,29.73,2021-09-02 22:00
,黄石,21.10,,0.06,,22.80,24.50,27.50,2021-09-02 22:00
,码头镇,18.67,,0.00,,20.50,21.50,24.50,2021-09-02 22:00
,九江,17.52,,0.00,45600,--,20.00,23.25,2021-09-02 22:00
,三峡水库,158.81,,-0.03,27500(出),--,--,--,2021-09-02 22:00
洞庭湖,城陵矶,30.39,,0.02,11400,--,33.00,34.55,2021-09-02 22:00
鄱阳湖,湖口,16.85,,-0.02,795,--,19.50,22.50,2021-09-02 22:00
湘江,湘潭,31.87,缺测,31.87,1240,--,38.00,39.50,2021-09-02 22:00
资水,桃江,33.57,,-0.24,758,--,39.20,42.30,2021-09-02 22:00
沅水,桃源,33.76,,0.07,2750,--,42.50,45.40,2021-09-02 22:00
澧水,石门,51.94,,0.23,898,--,58.50,61.00,2021-09-02 22:00
松滋河,新江口,41.09,,-0.07,2450,43.00,44.00,45.77,2021-09-02 22:00
,沙道观,40.91,,-0.07,817,43.00,44.00,45.21,2021-09-02 22:00
藕池河,管家铺,35.57,,-0.06,1410,37.50,38.50,39.50,2021-09-02 22:00
,康家岗,35.34,,-0.07,42.9,37.50,38.50,39.87,2021-09-02 22:00
虎渡河,弥陀寺,39.06,,-0.07,723,42.00,43.00,44.15,2021-09-02 22:00
长湖,长湖,30.90,,-0.04,,31.50,32.50,33.50,2021-09-02 22:00
洪湖,挖沟咀,25.49,,-0.02,,25.80,26.20,27.00,2021-09-02 22:00
刁汊湖,五房台,24.11,,-0.01,,--,24.80,26.00,2021-09-02 22:00
斧头湖,三洲,21.96,,-0.02,,21.50,22.80,23.94,2021-09-02 22:00
梁子湖,梁子镇,19.17,,-0.03,,19.00,20.50,21.36,2021-09-02 22:00
汉江,安康,239.74,,-2.08,3450,--,--,--,2021-09-02 22:00
,白河,180.59,,-1.78,6620,--,187.00,191.00,2021-09-02 22:00
,黄家港,93.66,,0.38,8440,--,--,--,2021-09-02 22:00
,襄阳,65.74,,-0.06,,65.50,67.00,70.00,2021-09-02 22:00
,宜城,56.89,,-0.70,,56.50,57.50,59.30,2021-09-02 22:00
,皇庄,48.16,,-0.05,11000,47.00,48.00,50.62,2021-09-02 22:00
,沙洋,41.94,,0.34,,40.80,41.80,44.50,2021-09-02 22:00
,岳口,37.81,,0.51,,36.90,37.90,40.62,2021-09-02 22:00
,仙桃,34.98,,0.54,8140,34.10,35.10,36.20,2021-09-02 22:00
,汉川,29.89,,0.39,,28.00,29.00,31.69,2021-09-02 22:00
,丹江口水库,165.85,,0.63,"13600(入)
8670(出)",--,--,--,2021-09-02 22:00
清江,水布垭,395.93,,-0.48,"507(入)
1040(出)",--,--,--,2021-09-02 22:00
,隔河岩,195.84,,0.13,"1150(入)
1190(出)",--,--,--,2021-09-02 22:00
沮漳河,河溶,41.92,,-0.41,176,47.50,48.50,50.00,2021-09-02 22:00
东荆河,潜江,39.14,,0.48,2130,38.40,39.70,42.11,2021-09-02 22:00
汉北河,天门,24.49,,-0.03,61.3,28.30,29.30,30.00,2021-09-02 22:00
大富水,应城,24.13,,0.03,44.2,27.50,29.00,33.00,2021-09-02 22:00
环水,花园,32.66,,-0.03,22.1,--,37.50,39.95,2021-09-02 22:00
,孝感,24.51,,0.03,,26.50,27.50,31.00,2021-09-02 22:00
府河,隔蒲潭,24.91,,0.14,202,29.50,30.50,33.50,2021-09-02 22:00
府澴河,卧龙潭,24.09,,0.02,,26.50,27.00,29.69,2021-09-02 22:00
富水,阳新,19.23,,0.03,,20.50,21.70,23.00,2021-09-02 22:00
滠水,黄陂,24.14,,0.02,,25.00,26.00,29.31,2021-09-02 22:00
倒水,李家集,24.33,,-0.25,,26.30,28.00,30.73,2021-09-02 22:00
举水,柳子港,23.53,,-0.02,70.5,28.00,29.00,33.11,2021-09-02 22:00
巴水,马家潭,21.64,,0.09,223,--,--,--,2021-09-02 22:00
蕲水,西河驿,20.24,,0.09,167,--,--,--,2021-09-02 22:00
