河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,173.04,,0.63,28000,--,--,--,2021-09-04 02:00
,武隆,175.75,,0.17,2540,--,--,--,2021-09-04 02:00
,宜昌,47.39,,-0.42,27600,52.00,53.00,55.73,2021-09-04 02:00
,枝城,43.80,,-0.17,28400,48.00,49.00,51.75,2021-09-04 02:00
,沙市,39.17,,-0.07,24500,42.00,43.00,45.00,2021-09-04 02:00
,监利,33.36,,-0.02,23200,34.50,35.70,37.23,2021-09-04 02:00
,莲花塘,30.25,,-0.05,,--,32.50,34.40,2021-09-04 02:00
,螺山,29.37,,0.00,35000,31.00,32.00,34.01,2021-09-04 02:00
,汉口,24.65,,0.03,44100,25.00,27.30,29.73,2021-09-04 02:00
,黄石,21.15,,0.05,,22.80,24.50,27.50,2021-09-04 02:00
,码头镇,18.74,,0.07,,20.50,21.50,24.50,2021-09-04 02:00
,九江,17.60,,0.05,46000,--,20.00,23.25,2021-09-04 02:00
,三峡水库,159.29,,0.51,"32100(入)
25200(出)",--,--,--,2021-09-04 02:00
洞庭湖,城陵矶,30.30,,-0.05,11600,--,33.00,34.55,2021-09-04 02:00
鄱阳湖,湖口,16.98,,0.04,1520,--,19.50,22.50,2021-09-04 02:00
湘江,湘潭,31.78,缺测,-0.07,1160,--,38.00,39.50,2021-09-04 02:00
资水,桃江,33.90,,-0.15,933,--,39.20,42.30,2021-09-04 02:00
沅水,桃源,33.78,,0.05,2780,--,42.50,45.40,2021-09-04 02:00
澧水,石门,50.85,,-0.07,213,--,58.50,61.00,2021-09-04 02:00
松滋河,新江口,41.00,,-0.08,2400,43.00,44.00,45.77,2021-09-04 02:00
,沙道观,40.84,,-0.06,795,43.00,44.00,45.21,2021-09-04 02:00
藕池河,管家铺,35.53,,-0.04,1380,37.50,38.50,39.50,2021-09-04 02:00
,康家岗,35.29,,-0.04,41.8,37.50,38.50,39.87,2021-09-04 02:00
虎渡河,弥陀寺,38.99,,-0.06,700,42.00,43.00,44.15,2021-09-04 02:00
长湖,长湖,30.88,,-0.02,,31.50,32.50,33.50,2021-09-04 02:00
洪湖,挖沟咀,25.47,,-0.02,,25.80,26.20,27.00,2021-09-04 02:00
刁汊湖,五房台,24.10,,-0.01,,--,24.80,26.00,2021-09-04 02:00
斧头湖,三洲,21.90,,-0.06,,21.50,22.80,23.94,2021-09-04 02:00
梁子湖,梁子镇,19.15,,-0.02,,19.00,20.50,21.36,2021-09-04 02:00
汉江,安康,239.08,,-0.30,2750,--,--,--,2021-09-04 02:00
,白河,179.54,,-1.05,4130,--,187.00,191.00,2021-09-04 02:00
,黄家港,93.65,,-0.01,8410,--,--,--,2021-09-04 02:00
,襄阳,65.89,,0.16,,65.50,67.00,70.00,2021-09-04 02:00
,宜城,56.94,,0.11,,56.50,57.50,59.30,2021-09-04 02:00
,皇庄,47.82,,-0.29,9920,47.00,48.00,50.62,2021-09-04 02:00
,沙洋,41.89,,-0.06,,40.80,41.80,44.50,2021-09-04 02:00
,岳口,38.06,,0.16,,36.90,37.90,40.62,2021-09-04 02:00
,仙桃,35.30,,0.24,8460,34.10,35.10,36.20,2021-09-04 02:00
,汉川,30.23,,0.27,,28.00,29.00,31.69,2021-09-04 02:00
,丹江口水库,165.88,,-0.01,"9610(入)
8710(出)",--,--,--,2021-09-04 02:00
清江,水布垭,395.35,,-0.56,"598(入)
394(出)",--,--,--,2021-09-04 02:00
,隔河岩,196.08,,0.26,"1270(入)
492(出)",--,--,--,2021-09-04 02:00
沮漳河,河溶,41.53,,-0.25,128,47.50,48.50,50.00,2021-09-04 02:00
东荆河,潜江,39.38,,0.17,2100,38.40,39.70,42.11,2021-09-04 02:00
汉北河,天门,24.50,,-0.02,61.6,28.30,29.30,30.00,2021-09-04 02:00
大富水,应城,24.11,,-0.02,43.5,27.50,29.00,33.00,2021-09-04 02:00
环水,花园,32.63,,-0.03,20.5,--,37.50,39.95,2021-09-04 02:00
,孝感,24.48,,-0.05,,26.50,27.50,31.00,2021-09-04 02:00
府河,隔蒲潭,24.52,,-0.36,152,29.50,30.50,33.50,2021-09-04 02:00
府澴河,卧龙潭,24.06,,-0.04,,26.50,27.00,29.69,2021-09-04 02:00
富水,阳新,19.31,,0.07,,20.50,21.70,23.00,2021-09-04 02:00
滠水,黄陂,24.21,,0.03,,25.00,26.00,29.31,2021-09-04 02:00
倒水,李家集,24.58,,0.21,,26.30,28.00,30.73,2021-09-04 02:00
举水,柳子港,23.54,,0.01,71.8,28.00,29.00,33.11,2021-09-04 02:00
巴水,马家潭,21.68,,0.06,232,--,--,--,2021-09-04 02:00
蕲水,西河驿,20.25,,0.07,169,--,--,--,2021-09-04 02:00
