河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,172.25,,1.14,26400,--,--,--,2021-09-03 01:00
,武隆,175.85,,0.48,2570,--,--,--,2021-09-03 01:00
,宜昌,47.78,,0.01,29000,52.00,53.00,55.73,2021-09-03 01:00
,枝城,43.96,,-0.04,29400,48.00,49.00,51.75,2021-09-03 01:00
,沙市,39.23,,-0.07,24700,42.00,43.00,45.00,2021-09-03 01:00
,监利,33.39,,-0.04,23400,34.50,35.70,37.23,2021-09-03 01:00
,莲花塘,30.26,,-0.02,,--,32.50,34.40,2021-09-03 01:00
,螺山,29.36,,0.00,35900,31.00,32.00,34.01,2021-09-03 01:00
,汉口,24.62,,0.05,43900,25.00,27.30,29.73,2021-09-03 01:00
,黄石,21.10,,0.07,,22.80,24.50,27.50,2021-09-03 01:00
,码头镇,18.66,,-0.01,,20.50,21.50,24.50,2021-09-03 01:00
,九江,17.53,,0.01,45700,--,20.00,23.25,2021-09-03 01:00
,三峡水库,158.80,,-0.06,27500(出),--,--,--,2021-09-03 01:00
洞庭湖,城陵矶,30.31,,0.00,11600,--,33.00,34.55,2021-09-03 01:00
鄱阳湖,湖口,16.93,,0.05,793,--,19.50,22.50,2021-09-03 01:00
湘江,湘潭,31.86,缺测,0.13,1230,--,38.00,39.50,2021-09-03 01:00
资水,桃江,33.98,,0.12,980,--,39.20,42.30,2021-09-03 01:00
沅水,桃源,33.83,,0.14,2830,--,42.50,45.40,2021-09-03 01:00
澧水,石门,51.11,,0.12,347,--,58.50,61.00,2021-09-03 01:00
松滋河,新江口,41.08,,-0.07,2450,43.00,44.00,45.77,2021-09-03 01:00
,沙道观,40.90,,-0.07,818,43.00,44.00,45.21,2021-09-03 01:00
藕池河,管家铺,35.58,,-0.04,1390,37.50,38.50,39.50,2021-09-03 01:00
,康家岗,35.33,,-0.06,42.7,37.50,38.50,39.87,2021-09-03 01:00
虎渡河,弥陀寺,39.05,,-0.07,729,42.00,43.00,44.15,2021-09-03 01:00
长湖,长湖,30.90,,-0.03,,31.50,32.50,33.50,2021-09-03 01:00
洪湖,挖沟咀,25.48,,0.02,,25.80,26.20,27.00,2021-09-03 01:00
刁汊湖,五房台,24.12,,0.02,,--,24.80,26.00,2021-09-03 01:00
斧头湖,三洲,21.96,,-0.03,,21.50,22.80,23.94,2021-09-03 01:00
梁子湖,梁子镇,19.17,,-0.02,,19.00,20.50,21.36,2021-09-03 01:00
汉江,安康,239.39,,-2.38,3060,--,--,--,2021-09-03 01:00
,白河,180.45,,-1.92,6480,--,187.00,191.00,2021-09-03 01:00
,黄家港,93.68,,0.41,8490,--,--,--,2021-09-03 01:00
,襄阳,65.73,,-0.03,,65.50,67.00,70.00,2021-09-03 01:00
,宜城,56.84,,-0.65,,56.50,57.50,59.30,2021-09-03 01:00
,皇庄,48.12,,-0.13,10900,47.00,48.00,50.62,2021-09-03 01:00
,沙洋,41.94,,0.24,,40.80,41.80,44.50,2021-09-03 01:00
,岳口,37.88,,0.48,,36.90,37.90,40.62,2021-09-03 01:00
,仙桃,35.04,,0.51,8180,34.10,35.10,36.20,2021-09-03 01:00
,汉川,29.96,,0.42,,28.00,29.00,31.69,2021-09-03 01:00
,丹江口水库,165.87,,0.57,"12200(入)
8670(出)",--,--,--,2021-09-03 01:00
清江,水布垭,395.92,,-0.46,"150(入)
430(出)",--,--,--,2021-09-03 01:00
,隔河岩,195.83,,0.12,"150(入)
602(出)",--,--,--,2021-09-03 01:00
沮漳河,河溶,41.81,,-0.55,171,47.50,48.50,50.00,2021-09-03 01:00
东荆河,潜江,39.19,,0.45,2150,38.40,39.70,42.11,2021-09-03 01:00
汉北河,天门,24.52,,0.01,62.1,28.30,29.30,30.00,2021-09-03 01:00
大富水,应城,24.13,,-0.01,44.2,27.50,29.00,33.00,2021-09-03 01:00
环水,花园,32.66,,-0.03,22.1,--,37.50,39.95,2021-09-03 01:00
,孝感,24.53,,0.03,,26.50,27.50,31.00,2021-09-03 01:00
府河,隔蒲潭,24.88,,0.10,199,29.50,30.50,33.50,2021-09-03 01:00
府澴河,卧龙潭,24.10,,0.03,,26.50,27.00,29.69,2021-09-03 01:00
富水,阳新,19.25,,0.04,,20.50,21.70,23.00,2021-09-03 01:00
滠水,黄陂,24.17,,0.05,,25.00,26.00,29.31,2021-09-03 01:00
倒水,李家集,24.36,,-0.16,,26.30,28.00,30.73,2021-09-03 01:00
举水,柳子港,23.53,,-0.02,70.5,28.00,29.00,33.11,2021-09-03 01:00
巴水,马家潭,21.61,,0.05,218,--,--,--,2021-09-03 01:00
蕲水,西河驿,20.16,,0.02,152,--,--,--,2021-09-03 01:00
