河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,173.37,,2.24,29100,--,--,--,2021-09-03 08:00
,武隆,171.12,,-0.09,948,--,--,--,2021-09-03 08:00
,宜昌,47.71,,-0.07,28800,52.00,53.00,55.73,2021-09-03 08:00
,枝城,43.98,,-0.04,29300,48.00,49.00,51.75,2021-09-03 08:00
,沙市,39.25,,-0.03,25100,42.00,43.00,45.00,2021-09-03 08:00
,监利,33.36,,-0.03,23300,34.50,35.70,37.23,2021-09-03 08:00
,莲花塘,30.31,,0.00,,--,32.50,34.40,2021-09-03 08:00
,螺山,29.34,,-0.03,35900,31.00,32.00,34.01,2021-09-03 08:00
,汉口,24.61,,0.03,43800,25.00,27.30,29.73,2021-09-03 08:00
,黄石,21.09,,0.06,,22.80,24.50,27.50,2021-09-03 08:00
,码头镇,18.70,,0.05,,20.50,21.50,24.50,2021-09-03 08:00
,九江,17.57,,0.06,45900,--,20.00,23.25,2021-09-03 08:00
,三峡水库,158.80,,-0.11,"29000(入)
27400(出)",--,--,--,2021-09-03 08:00
洞庭湖,城陵矶,30.36,,-0.02,11500,--,33.00,34.55,2021-09-03 08:00
鄱阳湖,湖口,16.94,,0.05,789,--,19.50,22.50,2021-09-03 08:00
湘江,湘潭,31.80,,0.04,1180,--,38.00,39.50,2021-09-03 08:00
资水,桃江,33.43,,0.00,692,--,39.20,42.30,2021-09-03 08:00
沅水,桃源,33.73,,-0.01,2720,--,42.50,45.40,2021-09-03 08:00
澧水,石门,50.79,,0.04,188,--,58.50,61.00,2021-09-03 08:00
松滋河,新江口,41.08,,-0.04,2460,43.00,44.00,45.77,2021-09-03 08:00
,沙道观,40.90,,-0.05,824,43.00,44.00,45.21,2021-09-03 08:00
藕池河,管家铺,35.55,,-0.04,1400,37.50,38.50,39.50,2021-09-03 08:00
,康家岗,35.32,,-0.05,42.5,37.50,38.50,39.87,2021-09-03 08:00
虎渡河,弥陀寺,39.06,,-0.04,738,42.00,43.00,44.15,2021-09-03 08:00
长湖,长湖,30.88,,-0.04,,31.50,32.50,33.50,2021-09-03 08:00
洪湖,挖沟咀,25.47,,0.01,,25.80,26.20,27.00,2021-09-03 08:00
刁汊湖,五房台,24.14,,0.04,,--,24.80,26.00,2021-09-03 08:00
斧头湖,三洲,21.95,,-0.03,,21.50,22.80,23.94,2021-09-03 08:00
梁子湖,梁子镇,19.17,,-0.02,,19.00,20.50,21.36,2021-09-03 08:00
汉江,安康,239.35,,-2.19,3020,--,--,--,2021-09-03 08:00
,白河,180.02,,-2.89,5820,--,187.00,191.00,2021-09-03 08:00
,黄家港,93.66,,0.38,8440,--,--,--,2021-09-03 08:00
,襄阳,65.80,,0.05,,65.50,67.00,70.00,2021-09-03 08:00
,宜城,56.77,,-0.51,,56.50,57.50,59.30,2021-09-03 08:00
,皇庄,48.02,,-0.24,10200,47.00,48.00,50.62,2021-09-03 08:00
,沙洋,41.97,,0.12,,40.80,41.80,44.50,2021-09-03 08:00
,岳口,37.99,,0.43,,36.90,37.90,40.62,2021-09-03 08:00
,仙桃,35.18,,0.43,8270,34.10,35.10,36.20,2021-09-03 08:00
,汉川,30.05,,0.34,,28.00,29.00,31.69,2021-09-03 08:00
,丹江口水库,165.90,,0.40,"9140(入)
8670(出)",--,--,--,2021-09-03 08:00
清江,水布垭,395.85,,-0.48,"399(入)
632(出)",--,--,--,2021-09-03 08:00
,隔河岩,195.83,,-0.04,"616(入)
784(出)",--,--,--,2021-09-03 08:00
沮漳河,河溶,41.63,,-0.76,137,47.50,48.50,50.00,2021-09-03 08:00
东荆河,潜江,39.30,,0.40,2210,38.40,39.70,42.11,2021-09-03 08:00
汉北河,天门,24.53,,0.01,8.55,28.30,29.30,30.00,2021-09-03 08:00
大富水,应城,24.14,,-0.03,44.5,27.50,29.00,33.00,2021-09-03 08:00
环水,花园,32.65,,-0.03,21.6,--,37.50,39.95,2021-09-03 08:00
,孝感,24.54,,0.03,,26.50,27.50,31.00,2021-09-03 08:00
府河,隔蒲潭,24.81,,-0.05,189,29.50,30.50,33.50,2021-09-03 08:00
府澴河,卧龙潭,24.10,,0.03,,26.50,27.00,29.69,2021-09-03 08:00
富水,阳新,19.26,,0.05,,20.50,21.70,23.00,2021-09-03 08:00
滠水,黄陂,24.15,,0.02,,25.00,26.00,29.31,2021-09-03 08:00
倒水,李家集,24.40,,0.00,,26.30,28.00,30.73,2021-09-03 08:00
举水,柳子港,23.52,,-0.02,69.3,28.00,29.00,33.11,2021-09-03 08:00
巴水,马家潭,21.63,,0.07,222,--,--,--,2021-09-03 08:00
蕲水,西河驿,20.19,,0.05,158,--,--,--,2021-09-03 08:00
