河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.19,,-1.94,22700,--,--,--,2021-09-01 22:00
,武隆,176.02,,2.30,2630,--,--,--,2021-09-01 22:00
,宜昌,47.81,,-0.11,29100,52.00,53.00,55.73,2021-09-01 22:00
,枝城,44.02,,-0.13,29400,48.00,49.00,51.75,2021-09-01 22:00
,沙市,39.30,,-0.16,25200,42.00,43.00,45.00,2021-09-01 22:00
,监利,33.45,,-0.08,23800,34.50,35.70,37.23,2021-09-01 22:00
,莲花塘,30.32,,-0.01,,--,32.50,34.40,2021-09-01 22:00
,螺山,29.37,,-0.03,35600,31.00,32.00,34.01,2021-09-01 22:00
,汉口,24.58,,0.03,43700,25.00,27.30,29.73,2021-09-01 22:00
,黄石,21.04,,0.01,,22.80,24.50,27.50,2021-09-01 22:00
,码头镇,18.67,,0.03,,20.50,21.50,24.50,2021-09-01 22:00
,九江,17.52,,0.03,45600,--,20.00,23.25,2021-09-01 22:00
,三峡水库,158.84,,0.66,27400(出),--,--,--,2021-09-01 22:00
洞庭湖,城陵矶,30.37,,0.00,10500,--,33.00,34.55,2021-09-01 22:00
鄱阳湖,湖口,16.87,,0.03,1240,--,19.50,22.50,2021-09-01 22:00
湘江,湘潭,,缺测,-31.60,,--,38.00,39.50,2021-09-01 22:00
资水,桃江,33.81,,1.52,917,--,39.20,42.30,2021-09-01 22:00
沅水,桃源,33.69,,0.00,2690,--,42.50,45.40,2021-09-01 22:00
澧水,石门,51.71,,-0.14,737,--,58.50,61.00,2021-09-01 22:00
松滋河,新江口,41.16,,-0.15,2490,43.00,44.00,45.77,2021-09-01 22:00
,沙道观,40.98,,-0.14,834,43.00,44.00,45.21,2021-09-01 22:00
藕池河,管家铺,35.63,,-0.09,1420,37.50,38.50,39.50,2021-09-01 22:00
,康家岗,35.41,,-0.10,44.5,37.50,38.50,39.87,2021-09-01 22:00
虎渡河,弥陀寺,39.13,,-0.15,707,42.00,43.00,44.15,2021-09-01 22:00
长湖,长湖,30.94,,-0.03,,31.50,32.50,33.50,2021-09-01 22:00
洪湖,挖沟咀,25.51,,-0.05,,25.80,26.20,27.00,2021-09-01 22:00
刁汊湖,五房台,24.12,,-0.02,,--,24.80,26.00,2021-09-01 22:00
斧头湖,三洲,21.98,,-0.01,,21.50,22.80,23.94,2021-09-01 22:00
梁子湖,梁子镇,19.20,,-0.01,,19.00,20.50,21.36,2021-09-01 22:00
汉江,安康,241.82,,4.14,6290,--,--,--,2021-09-01 22:00
,白河,182.37,,2.70,10200,--,187.00,191.00,2021-09-01 22:00
,黄家港,93.28,,0.00,7360,--,--,--,2021-09-01 22:00
,襄阳,65.80,,-0.27,,65.50,67.00,70.00,2021-09-01 22:00
,宜城,57.59,,-0.52,,56.50,57.50,59.30,2021-09-01 22:00
,皇庄,48.21,,0.65,11600,47.00,48.00,50.62,2021-09-01 22:00
,沙洋,41.60,,0.63,,40.80,41.80,44.50,2021-09-01 22:00
,岳口,37.30,,0.64,,36.90,37.90,40.62,2021-09-01 22:00
,仙桃,34.44,,0.52,7660,34.10,35.10,36.20,2021-09-01 22:00
,汉川,29.50,,0.25,,28.00,29.00,31.69,2021-09-01 22:00
,丹江口水库,165.22,,-0.07,"9440(入)
7700(出)",--,--,--,2021-09-01 22:00
清江,水布垭,396.41,,-0.48,"354(入)
1030(出)",--,--,--,2021-09-01 22:00
,隔河岩,195.71,,0.04,"1310(入)
976(出)",--,--,--,2021-09-01 22:00
沮漳河,河溶,42.33,,0.40,192,47.50,48.50,50.00,2021-09-01 22:00
东荆河,潜江,38.66,,0.61,1520,38.40,39.70,42.11,2021-09-01 22:00
汉北河,天门,24.52,,-0.06,62.1,28.30,29.30,30.00,2021-09-01 22:00
大富水,应城,24.10,,-0.08,43.2,27.50,29.00,33.00,2021-09-01 22:00
环水,花园,32.69,,-0.05,23.9,--,37.50,39.95,2021-09-01 22:00
,孝感,24.48,,-0.18,,26.50,27.50,31.00,2021-09-01 22:00
府河,隔蒲潭,24.77,,-0.10,184,29.50,30.50,33.50,2021-09-01 22:00
府澴河,卧龙潭,24.07,,-0.06,,26.50,27.00,29.69,2021-09-01 22:00
富水,阳新,19.20,,0.00,,20.50,21.70,23.00,2021-09-01 22:00
滠水,黄陂,24.12,,-0.01,,25.00,26.00,29.31,2021-09-01 22:00
倒水,李家集,24.58,,-0.33,,26.30,28.00,30.73,2021-09-01 22:00
举水,柳子港,23.55,,-0.05,73.0,28.00,29.00,33.11,2021-09-01 22:00
巴水,马家潭,21.55,,0.00,207,--,--,--,2021-09-01 22:00
蕲水,西河驿,20.15,,0.03,150,--,--,--,2021-09-01 22:00
