河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,172.76,,1.68,27600,--,--,--,2021-09-03 04:00
,武隆,174.04,,1.25,1940,--,--,--,2021-09-03 04:00
,宜昌,47.81,,-0.02,29100,52.00,53.00,55.73,2021-09-03 04:00
,枝城,43.96,,-0.03,29300,48.00,49.00,51.75,2021-09-03 04:00
,沙市,39.24,,-0.05,24900,42.00,43.00,45.00,2021-09-03 04:00
,监利,33.37,,-0.04,23400,34.50,35.70,37.23,2021-09-03 04:00
,莲花塘,30.30,,0.07,,--,32.50,34.40,2021-09-03 04:00
,螺山,29.34,,-0.01,36100,31.00,32.00,34.01,2021-09-03 04:00
,汉口,24.61,,0.04,43800,25.00,27.30,29.73,2021-09-03 04:00
,黄石,21.09,,0.06,,22.80,24.50,27.50,2021-09-03 04:00
,码头镇,18.68,,0.01,,20.50,21.50,24.50,2021-09-03 04:00
,九江,17.56,,0.05,45800,--,20.00,23.25,2021-09-03 04:00
,三峡水库,158.78,,-0.11,27400(出),--,--,--,2021-09-03 04:00
洞庭湖,城陵矶,30.37,,0.07,11500,--,33.00,34.55,2021-09-03 04:00
鄱阳湖,湖口,16.93,,0.06,791,--,19.50,22.50,2021-09-03 04:00
湘江,湘潭,31.85,缺测,0.09,1220,--,38.00,39.50,2021-09-03 04:00
资水,桃江,33.86,,0.13,912,--,39.20,42.30,2021-09-03 04:00
沅水,桃源,33.64,,-0.08,2620,--,42.50,45.40,2021-09-03 04:00
澧水,石门,50.82,,0.07,200,--,58.50,61.00,2021-09-03 04:00
松滋河,新江口,41.08,,-0.05,2450,43.00,44.00,45.77,2021-09-03 04:00
,沙道观,40.90,,-0.06,820,43.00,44.00,45.21,2021-09-03 04:00
藕池河,管家铺,35.56,,-0.05,1390,37.50,38.50,39.50,2021-09-03 04:00
,康家岗,35.33,,-0.06,42.7,37.50,38.50,39.87,2021-09-03 04:00
虎渡河,弥陀寺,39.06,,-0.05,727,42.00,43.00,44.15,2021-09-03 04:00
长湖,长湖,30.89,,-0.03,,31.50,32.50,33.50,2021-09-03 04:00
洪湖,挖沟咀,25.48,,0.01,,25.80,26.20,27.00,2021-09-03 04:00
刁汊湖,五房台,24.11,,0.01,,--,24.80,26.00,2021-09-03 04:00
斧头湖,三洲,21.96,,-0.02,,21.50,22.80,23.94,2021-09-03 04:00
梁子湖,梁子镇,19.17,,-0.02,,19.00,20.50,21.36,2021-09-03 04:00
汉江,安康,239.38,,-2.30,3050,--,--,--,2021-09-03 04:00
,白河,180.57,,-2.13,6600,--,187.00,191.00,2021-09-03 04:00
,黄家港,93.67,,0.40,8460,--,--,--,2021-09-03 04:00
,襄阳,65.73,,-0.03,,65.50,67.00,70.00,2021-09-03 04:00
,宜城,56.80,,-0.60,,56.50,57.50,59.30,2021-09-03 04:00
,皇庄,48.06,,-0.21,10800,47.00,48.00,50.62,2021-09-03 04:00
,沙洋,41.97,,0.20,,40.80,41.80,44.50,2021-09-03 04:00
,岳口,37.92,,0.42,,36.90,37.90,40.62,2021-09-03 04:00
,仙桃,35.10,,0.48,8220,34.10,35.10,36.20,2021-09-03 04:00
,汉川,29.98,,0.33,,28.00,29.00,31.69,2021-09-03 04:00
,丹江口水库,165.89,,0.49,"10500(入)
8690(出)",--,--,--,2021-09-03 04:00
清江,水布垭,395.90,,-0.47,"556(入)
577(出)",--,--,--,2021-09-03 04:00
,隔河岩,195.83,,0.05,"666(入)
638(出)",--,--,--,2021-09-03 04:00
沮漳河,河溶,41.70,,-0.74,144,47.50,48.50,50.00,2021-09-03 04:00
东荆河,潜江,39.25,,0.42,2190,38.40,39.70,42.11,2021-09-03 04:00
汉北河,天门,24.53,,0.02,62.4,28.30,29.30,30.00,2021-09-03 04:00
大富水,应城,24.13,,-0.10,44.2,27.50,29.00,33.00,2021-09-03 04:00
环水,花园,32.65,,-0.03,21.6,--,37.50,39.95,2021-09-03 04:00
,孝感,24.52,,0.03,,26.50,27.50,31.00,2021-09-03 04:00
府河,隔蒲潭,24.85,,0.04,195,29.50,30.50,33.50,2021-09-03 04:00
府澴河,卧龙潭,24.10,,0.03,,26.50,27.00,29.69,2021-09-03 04:00
富水,阳新,19.24,,0.03,,20.50,21.70,23.00,2021-09-03 04:00
滠水,黄陂,24.17,,0.05,,25.00,26.00,29.31,2021-09-03 04:00
倒水,李家集,24.40,,-0.07,,26.30,28.00,30.73,2021-09-03 04:00
举水,柳子港,23.53,,-0.02,70.5,28.00,29.00,33.11,2021-09-03 04:00
巴水,马家潭,21.61,,0.04,218,--,--,--,2021-09-03 04:00
蕲水,西河驿,20.18,,0.03,156,--,--,--,2021-09-03 04:00
