河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,173.43,,2.10,29400,--,--,--,2021-09-03 17:00
,武隆,176.23,,0.61,2710,--,--,--,2021-09-03 17:00
,宜昌,47.64,,-0.13,28500,52.00,53.00,55.73,2021-09-03 17:00
,枝城,43.93,,-0.04,29000,48.00,49.00,51.75,2021-09-03 17:00
,沙市,39.23,,-0.04,24900,42.00,43.00,45.00,2021-09-03 17:00
,监利,33.38,,0.00,23300,34.50,35.70,37.23,2021-09-03 17:00
,莲花塘,30.29,,0.01,,--,32.50,34.40,2021-09-03 17:00
,螺山,29.39,,0.01,35400,31.00,32.00,34.01,2021-09-03 17:00
,汉口,24.64,,0.05,44000,25.00,27.30,29.73,2021-09-03 17:00
,黄石,21.13,,0.06,,22.80,24.50,27.50,2021-09-03 17:00
,码头镇,18.73,,0.05,,20.50,21.50,24.50,2021-09-03 17:00
,九江,17.61,,0.04,46000,--,20.00,23.25,2021-09-03 17:00
,三峡水库,158.92,,0.07,26600(出),--,--,--,2021-09-03 17:00
洞庭湖,城陵矶,30.35,,0.02,11500,--,33.00,34.55,2021-09-03 17:00
鄱阳湖,湖口,16.98,,0.05,1480,--,19.50,22.50,2021-09-03 17:00
湘江,湘潭,31.76,缺测,-0.09,1130,--,38.00,39.50,2021-09-03 17:00
资水,桃江,32.86,,0.03,479,--,39.20,42.30,2021-09-03 17:00
沅水,桃源,33.68,,0.05,2670,--,42.50,45.40,2021-09-03 17:00
澧水,石门,51.40,,-0.02,522,--,58.50,61.00,2021-09-03 17:00
松滋河,新江口,41.06,,-0.05,2440,43.00,44.00,45.77,2021-09-03 17:00
,沙道观,40.89,,-0.06,817,43.00,44.00,45.21,2021-09-03 17:00
藕池河,管家铺,35.54,,-0.04,1390,37.50,38.50,39.50,2021-09-03 17:00
,康家岗,35.30,,-0.04,42.0,37.50,38.50,39.87,2021-09-03 17:00
虎渡河,弥陀寺,39.04,,-0.04,727,42.00,43.00,44.15,2021-09-03 17:00
长湖,长湖,30.89,,-0.02,,31.50,32.50,33.50,2021-09-03 17:00
洪湖,挖沟咀,25.48,,0.03,,25.80,26.20,27.00,2021-09-03 17:00
刁汊湖,五房台,24.18,,0.05,,--,24.80,26.00,2021-09-03 17:00
斧头湖,三洲,21.92,,-0.05,,21.50,22.80,23.94,2021-09-03 17:00
梁子湖,梁子镇,19.16,,-0.02,,19.00,20.50,21.36,2021-09-03 17:00
汉江,安康,239.22,,-0.98,2890,--,--,--,2021-09-03 17:00
,白河,179.91,,-2.29,4790,--,187.00,191.00,2021-09-03 17:00
,黄家港,93.66,,0.37,8440,--,--,--,2021-09-03 17:00
,襄阳,65.89,,0.14,,65.50,67.00,70.00,2021-09-03 17:00
,宜城,56.83,,-0.21,,56.50,57.50,59.30,2021-09-03 17:00
,皇庄,47.88,,-0.33,10000,47.00,48.00,50.62,2021-09-03 17:00
,沙洋,41.94,,0.03,,40.80,41.80,44.50,2021-09-03 17:00
,岳口,38.03,,0.37,,36.90,37.90,40.62,2021-09-03 17:00
,仙桃,35.26,,0.39,8420,34.10,35.10,36.20,2021-09-03 17:00
,汉川,30.15,,0.30,,28.00,29.00,31.69,2021-09-03 17:00
,丹江口水库,165.88,,0.12,"7380(入)
8700(出)",--,--,--,2021-09-03 17:00
清江,水布垭,395.54,,-0.54,"468(入)
1030(出)",--,--,--,2021-09-03 17:00
,隔河岩,195.93,,0.10,"1130(入)
920(出)",--,--,--,2021-09-03 17:00
沮漳河,河溶,41.61,,-0.44,135,47.50,48.50,50.00,2021-09-03 17:00
东荆河,潜江,39.35,,0.35,2090,38.40,39.70,42.11,2021-09-03 17:00
汉北河,天门,24.51,,0.01,61.9,28.30,29.30,30.00,2021-09-03 17:00
大富水,应城,24.11,,0.01,43.5,27.50,29.00,33.00,2021-09-03 17:00
环水,花园,32.64,,-0.03,21.1,--,37.50,39.95,2021-09-03 17:00
,孝感,24.55,,0.04,,26.50,27.50,31.00,2021-09-03 17:00
府河,隔蒲潭,24.68,,-0.24,173,29.50,30.50,33.50,2021-09-03 17:00
府澴河,卧龙潭,24.10,,0.02,,26.50,27.00,29.69,2021-09-03 17:00
富水,阳新,19.29,,0.07,,20.50,21.70,23.00,2021-09-03 17:00
滠水,黄陂,24.19,,0.05,,25.00,26.00,29.31,2021-09-03 17:00
倒水,李家集,24.41,,0.19,,26.30,28.00,30.73,2021-09-03 17:00
举水,柳子港,23.54,,0.00,71.8,28.00,29.00,33.11,2021-09-03 17:00
巴水,马家潭,21.63,,0.08,222,--,--,--,2021-09-03 17:00
蕲水,西河驿,20.23,,0.07,166,--,--,--,2021-09-03 17:00
