河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.10,,-0.94,22500,--,--,--,2021-09-02 06:00
,武隆,171.30,,1.09,1010,--,--,--,2021-09-02 06:00
,宜昌,47.86,,-0.16,29300,52.00,53.00,55.73,2021-09-02 06:00
,枝城,44.01,,-0.12,29500,48.00,49.00,51.75,2021-09-02 06:00
,沙市,39.28,,-0.12,25100,42.00,43.00,45.00,2021-09-02 06:00
,监利,33.41,,-0.07,23600,34.50,35.70,37.23,2021-09-02 06:00
,莲花塘,30.28,,-0.06,,--,32.50,34.40,2021-09-02 06:00
,螺山,29.36,,-0.04,35300,31.00,32.00,34.01,2021-09-02 06:00
,汉口,24.57,,0.01,43600,25.00,27.30,29.73,2021-09-02 06:00
,黄石,21.02,,0.00,,22.80,24.50,27.50,2021-09-02 06:00
,码头镇,18.66,,0.03,,20.50,21.50,24.50,2021-09-02 06:00
,九江,17.51,,0.03,45600,--,20.00,23.25,2021-09-02 06:00
,三峡水库,158.89,,0.32,27500(出),--,--,--,2021-09-02 06:00
洞庭湖,城陵矶,30.34,,-0.06,10400,--,33.00,34.55,2021-09-02 06:00
鄱阳湖,湖口,16.88,,0.04,1160,--,19.50,22.50,2021-09-02 06:00
湘江,湘潭,31.78,缺测,0.11,1060,--,38.00,39.50,2021-09-02 06:00
资水,桃江,33.47,,-0.26,743,--,39.20,42.30,2021-09-02 06:00
沅水,桃源,33.73,,0.04,2730,--,42.50,45.40,2021-09-02 06:00
澧水,石门,50.74,,-0.47,170,--,58.50,61.00,2021-09-02 06:00
松滋河,新江口,41.13,,-0.11,2480,43.00,44.00,45.77,2021-09-02 06:00
,沙道观,40.94,,-0.12,829,43.00,44.00,45.21,2021-09-02 06:00
藕池河,管家铺,35.61,,-0.09,1410,37.50,38.50,39.50,2021-09-02 06:00
,康家岗,35.37,,-0.10,43.6,37.50,38.50,39.87,2021-09-02 06:00
虎渡河,弥陀寺,39.10,,-0.12,696,42.00,43.00,44.15,2021-09-02 06:00
长湖,长湖,30.93,,-0.03,,31.50,32.50,33.50,2021-09-02 06:00
洪湖,挖沟咀,25.46,,-0.06,,25.80,26.20,27.00,2021-09-02 06:00
刁汊湖,五房台,24.10,,-0.01,,--,24.80,26.00,2021-09-02 06:00
斧头湖,三洲,21.98,,0.00,,21.50,22.80,23.94,2021-09-02 06:00
梁子湖,梁子镇,19.18,,-0.02,,19.00,20.50,21.36,2021-09-02 06:00
汉江,安康,241.63,,4.02,5980,--,--,--,2021-09-02 06:00
,白河,182.86,,3.57,10900,--,187.00,191.00,2021-09-02 06:00
,黄家港,93.27,,-0.01,7340,--,--,--,2021-09-02 06:00
,襄阳,65.75,,-0.22,,65.50,67.00,70.00,2021-09-02 06:00
,宜城,57.34,,-0.78,,56.50,57.50,59.30,2021-09-02 06:00
,皇庄,48.29,,0.48,11800,47.00,48.00,50.62,2021-09-02 06:00
,沙洋,41.82,,0.64,,40.80,41.80,44.50,2021-09-02 06:00
,岳口,37.55,,0.68,,36.90,37.90,40.62,2021-09-02 06:00
,仙桃,34.69,,0.65,7810,34.10,35.10,36.20,2021-09-02 06:00
,汉川,29.67,,0.37,,28.00,29.00,31.69,2021-09-02 06:00
,丹江口水库,165.46,,0.21,"16400(入)
7750(出)",--,--,--,2021-09-02 06:00
清江,水布垭,396.36,,-0.51,"375(入)
521(出)",--,--,--,2021-09-02 06:00
,隔河岩,195.85,,0.11,"561(入)
112(出)",--,--,--,2021-09-02 06:00
沮漳河,河溶,42.45,,0.60,196,47.50,48.50,50.00,2021-09-02 06:00
东荆河,潜江,38.88,,0.67,1570,38.40,39.70,42.11,2021-09-02 06:00
汉北河,天门,24.51,,-0.07,61.9,28.30,29.30,30.00,2021-09-02 06:00
大富水,应城,24.21,,0.04,45.6,27.50,29.00,33.00,2021-09-02 06:00
环水,花园,32.68,,-0.04,23.3,--,37.50,39.95,2021-09-02 06:00
,孝感,24.52,,-0.16,,26.50,27.50,31.00,2021-09-02 06:00
府河,隔蒲潭,24.84,,0.00,193,29.50,30.50,33.50,2021-09-02 06:00
府澴河,卧龙潭,24.07,,-0.06,,26.50,27.00,29.69,2021-09-02 06:00
富水,阳新,19.21,,0.03,,20.50,21.70,23.00,2021-09-02 06:00
滠水,黄陂,24.13,,0.03,,25.00,26.00,29.31,2021-09-02 06:00
倒水,李家集,24.43,,-0.36,,26.30,28.00,30.73,2021-09-02 06:00
举水,柳子港,23.54,,-0.04,71.8,28.00,29.00,33.11,2021-09-02 06:00
巴水,马家潭,21.57,,0.03,211,--,--,--,2021-09-02 06:00
蕲水,西河驿,20.14,,0.03,148,--,--,--,2021-09-02 06:00
