河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.11,,-1.51,22500,--,--,--,2021-09-02 01:00
,武隆,175.37,,2.37,2420,--,--,--,2021-09-02 01:00
,宜昌,47.77,,-0.05,29000,52.00,53.00,55.73,2021-09-02 01:00
,枝城,44.00,,-0.10,29200,48.00,49.00,51.75,2021-09-02 01:00
,沙市,39.30,,-0.13,25200,42.00,43.00,45.00,2021-09-02 01:00
,监利,33.43,,-0.07,23400,34.50,35.70,37.23,2021-09-02 01:00
,莲花塘,30.28,,-0.03,,--,32.50,34.40,2021-09-02 01:00
,螺山,29.36,,-0.04,35700,31.00,32.00,34.01,2021-09-02 01:00
,汉口,24.57,,0.00,43600,25.00,27.30,29.73,2021-09-02 01:00
,黄石,21.03,,0.01,,22.80,24.50,27.50,2021-09-02 01:00
,码头镇,18.67,,0.05,,20.50,21.50,24.50,2021-09-02 01:00
,九江,17.52,,0.02,45600,--,20.00,23.25,2021-09-02 01:00
,三峡水库,158.86,,0.51,27500(出),--,--,--,2021-09-02 01:00
洞庭湖,城陵矶,30.31,,-0.04,10300,--,33.00,34.55,2021-09-02 01:00
鄱阳湖,湖口,16.88,,0.04,1210,--,19.50,22.50,2021-09-02 01:00
湘江,湘潭,31.73,缺测,0.11,1000,--,38.00,39.50,2021-09-02 01:00
资水,桃江,33.86,,1.23,944,--,39.20,42.30,2021-09-02 01:00
沅水,桃源,33.69,,-0.02,2690,--,42.50,45.40,2021-09-02 01:00
澧水,石门,50.99,,-0.63,280,--,58.50,61.00,2021-09-02 01:00
松滋河,新江口,41.15,,-0.13,2480,43.00,44.00,45.77,2021-09-02 01:00
,沙道观,40.97,,-0.13,831,43.00,44.00,45.21,2021-09-02 01:00
藕池河,管家铺,35.62,,-0.10,1430,37.50,38.50,39.50,2021-09-02 01:00
,康家岗,35.39,,-0.10,44.0,37.50,38.50,39.87,2021-09-02 01:00
虎渡河,弥陀寺,39.12,,-0.14,707,42.00,43.00,44.15,2021-09-02 01:00
长湖,长湖,30.93,,-0.04,,31.50,32.50,33.50,2021-09-02 01:00
洪湖,挖沟咀,25.46,,-0.10,,25.80,26.20,27.00,2021-09-02 01:00
刁汊湖,五房台,24.10,,-0.02,,--,24.80,26.00,2021-09-02 01:00
斧头湖,三洲,21.99,,0.00,,21.50,22.80,23.94,2021-09-02 01:00
梁子湖,梁子镇,19.19,,-0.02,,19.00,20.50,21.36,2021-09-02 01:00
汉江,安康,241.77,,4.14,6210,--,--,--,2021-09-02 01:00
,白河,182.37,,2.78,10600,--,187.00,191.00,2021-09-02 01:00
,黄家港,93.27,,-0.03,7340,--,--,--,2021-09-02 01:00
,襄阳,65.76,,-0.28,,65.50,67.00,70.00,2021-09-02 01:00
,宜城,57.49,,-0.66,,56.50,57.50,59.30,2021-09-02 01:00
,皇庄,48.25,,0.60,11700,47.00,48.00,50.62,2021-09-02 01:00
,沙洋,41.70,,0.67,,40.80,41.80,44.50,2021-09-02 01:00
,岳口,37.40,,0.66,,36.90,37.90,40.62,2021-09-02 01:00
,仙桃,34.53,,0.58,7720,34.10,35.10,36.20,2021-09-02 01:00
,汉川,29.54,,0.26,,28.00,29.00,31.69,2021-09-02 01:00
,丹江口水库,165.30,,0.03,"12900(入)
7720(出)",--,--,--,2021-09-02 01:00
清江,水布垭,396.39,,-0.51,"568(入)
515(出)",--,--,--,2021-09-02 01:00
,隔河岩,195.71,,0.05,"700(入)
736(出)",--,--,--,2021-09-02 01:00
沮漳河,河溶,42.36,,0.47,193,47.50,48.50,50.00,2021-09-02 01:00
东荆河,潜江,38.74,,0.63,1540,38.40,39.70,42.11,2021-09-02 01:00
汉北河,天门,24.51,,-0.08,61.9,28.30,29.30,30.00,2021-09-02 01:00
大富水,应城,24.14,,-0.02,44.5,27.50,29.00,33.00,2021-09-02 01:00
环水,花园,32.69,,-0.04,23.9,--,37.50,39.95,2021-09-02 01:00
,孝感,24.50,,-0.18,,26.50,27.50,31.00,2021-09-02 01:00
府河,隔蒲潭,24.78,,-0.08,185,29.50,30.50,33.50,2021-09-02 01:00
府澴河,卧龙潭,24.07,,-0.07,,26.50,27.00,29.69,2021-09-02 01:00
富水,阳新,19.21,,0.03,,20.50,21.70,23.00,2021-09-02 01:00
滠水,黄陂,24.12,,0.01,,25.00,26.00,29.31,2021-09-02 01:00
倒水,李家集,24.52,,-0.36,,26.30,28.00,30.73,2021-09-02 01:00
举水,柳子港,23.55,,-0.04,73.0,28.00,29.00,33.11,2021-09-02 01:00
巴水,马家潭,21.56,,0.01,209,--,--,--,2021-09-02 01:00
蕲水,西河驿,20.14,,0.02,148,--,--,--,2021-09-02 01:00
