河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,173.48,,2.27,29800,--,--,--,2021-09-03 15:00
,武隆,175.91,,0.62,2590,--,--,--,2021-09-03 15:00
,宜昌,47.70,,-0.06,28700,52.00,53.00,55.73,2021-09-03 15:00
,枝城,43.94,,-0.04,29100,48.00,49.00,51.75,2021-09-03 15:00
,沙市,39.22,,-0.05,24800,42.00,43.00,45.00,2021-09-03 15:00
,监利,33.37,,-0.02,23300,34.50,35.70,37.23,2021-09-03 15:00
,莲花塘,30.30,,0.04,,--,32.50,34.40,2021-09-03 15:00
,螺山,29.38,,0.00,35800,31.00,32.00,34.01,2021-09-03 15:00
,汉口,24.63,,0.05,44000,25.00,27.30,29.73,2021-09-03 15:00
,黄石,21.12,,0.06,,22.80,24.50,27.50,2021-09-03 15:00
,码头镇,18.71,,0.04,,20.50,21.50,24.50,2021-09-03 15:00
,九江,17.59,,0.04,46000,--,20.00,23.25,2021-09-03 15:00
,三峡水库,158.85,,0.00,26600(出),--,--,--,2021-09-03 15:00
洞庭湖,城陵矶,30.36,,0.03,11500,--,33.00,34.55,2021-09-03 15:00
鄱阳湖,湖口,16.97,,0.05,1470,--,19.50,22.50,2021-09-03 15:00
湘江,湘潭,31.74,缺测,-0.08,1110,--,38.00,39.50,2021-09-03 15:00
资水,桃江,32.91,,-0.11,492,--,39.20,42.30,2021-09-03 15:00
沅水,桃源,33.67,,-0.09,2650,--,42.50,45.40,2021-09-03 15:00
澧水,石门,51.41,,0.00,529,--,58.50,61.00,2021-09-03 15:00
松滋河,新江口,41.06,,-0.06,2440,43.00,44.00,45.77,2021-09-03 15:00
,沙道观,40.89,,-0.06,817,43.00,44.00,45.21,2021-09-03 15:00
藕池河,管家铺,35.55,,-0.03,1390,37.50,38.50,39.50,2021-09-03 15:00
,康家岗,35.31,,-0.04,42.2,37.50,38.50,39.87,2021-09-03 15:00
虎渡河,弥陀寺,39.04,,-0.04,725,42.00,43.00,44.15,2021-09-03 15:00
长湖,长湖,30.89,,-0.01,,31.50,32.50,33.50,2021-09-03 15:00
洪湖,挖沟咀,25.47,,0.02,,25.80,26.20,27.00,2021-09-03 15:00
刁汊湖,五房台,24.19,,0.05,,--,24.80,26.00,2021-09-03 15:00
斧头湖,三洲,21.93,,-0.05,,21.50,22.80,23.94,2021-09-03 15:00
梁子湖,梁子镇,19.16,,-0.02,,19.00,20.50,21.36,2021-09-03 15:00
汉江,安康,239.25,,-1.04,2920,--,--,--,2021-09-03 15:00
,白河,179.74,,-2.77,4540,--,187.00,191.00,2021-09-03 15:00
,黄家港,93.65,,0.35,8410,--,--,--,2021-09-03 15:00
,襄阳,65.89,,0.16,,65.50,67.00,70.00,2021-09-03 15:00
,宜城,56.80,,-0.29,,56.50,57.50,59.30,2021-09-03 15:00
,皇庄,47.92,,-0.30,10100,47.00,48.00,50.62,2021-09-03 15:00
,沙洋,41.96,,0.04,,40.80,41.80,44.50,2021-09-03 15:00
,岳口,38.00,,0.39,,36.90,37.90,40.62,2021-09-03 15:00
,仙桃,35.24,,0.41,8400,34.10,35.10,36.20,2021-09-03 15:00
,汉川,30.13,,0.30,,28.00,29.00,31.69,2021-09-03 15:00
,丹江口水库,165.89,,0.18,"7810(入)
8690(出)",--,--,--,2021-09-03 15:00
清江,水布垭,395.61,,-0.53,"412(入)
1030(出)",--,--,--,2021-09-03 15:00
,隔河岩,195.91,,0.08,"1220(入)
878(出)",--,--,--,2021-09-03 15:00
沮漳河,河溶,41.63,,-0.48,137,47.50,48.50,50.00,2021-09-03 15:00
东荆河,潜江,39.33,,0.35,2090,38.40,39.70,42.11,2021-09-03 15:00
汉北河,天门,24.52,,0.01,62.1,28.30,29.30,30.00,2021-09-03 15:00
大富水,应城,24.13,,0.02,44.2,27.50,29.00,33.00,2021-09-03 15:00
环水,花园,32.64,,-0.03,21.1,--,37.50,39.95,2021-09-03 15:00
,孝感,24.54,,0.03,,26.50,27.50,31.00,2021-09-03 15:00
府河,隔蒲潭,24.72,,-0.20,178,29.50,30.50,33.50,2021-09-03 15:00
府澴河,卧龙潭,24.10,,0.02,,26.50,27.00,29.69,2021-09-03 15:00
富水,阳新,19.27,,0.05,,20.50,21.70,23.00,2021-09-03 15:00
滠水,黄陂,24.19,,0.05,,25.00,26.00,29.31,2021-09-03 15:00
倒水,李家集,24.38,,0.13,,26.30,28.00,30.73,2021-09-03 15:00
举水,柳子港,23.54,,0.00,71.8,28.00,29.00,33.11,2021-09-03 15:00
巴水,马家潭,21.62,,0.06,220,--,--,--,2021-09-03 15:00
蕲水,西河驿,20.22,,0.07,164,--,--,--,2021-09-03 15:00
