河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.39,,-2.56,23200,--,--,--,2021-09-01 18:00
,武隆,176.12,,2.54,2670,--,--,--,2021-09-01 18:00
,宜昌,47.84,,-0.10,29200,52.00,53.00,55.73,2021-09-01 18:00
,枝城,44.04,,-0.13,29500,48.00,49.00,51.75,2021-09-01 18:00
,沙市,39.33,,-0.16,25300,42.00,43.00,45.00,2021-09-01 18:00
,监利,33.46,,-0.07,23800,34.50,35.70,37.23,2021-09-01 18:00
,莲花塘,30.27,,-0.04,,--,32.50,34.40,2021-09-01 18:00
,螺山,29.38,,-0.03,35200,31.00,32.00,34.01,2021-09-01 18:00
,汉口,24.57,,0.01,43600,25.00,27.30,29.73,2021-09-01 18:00
,黄石,21.03,,0.02,,22.80,24.50,27.50,2021-09-01 18:00
,码头镇,18.66,,0.03,,20.50,21.50,24.50,2021-09-01 18:00
,九江,17.52,,0.02,45600,--,20.00,23.25,2021-09-01 18:00
,三峡水库,158.82,,0.92,27400(出),--,--,--,2021-09-01 18:00
洞庭湖,城陵矶,30.34,,-0.03,10400,--,33.00,34.55,2021-09-01 18:00
鄱阳湖,湖口,16.88,,0.03,1270,--,19.50,22.50,2021-09-01 18:00
湘江,湘潭,31.70,缺测,0.10,964,--,38.00,39.50,2021-09-01 18:00
资水,桃江,32.79,,0.13,493,--,39.20,42.30,2021-09-01 18:00
沅水,桃源,33.68,,-0.02,2680,--,42.50,45.40,2021-09-01 18:00
澧水,石门,51.57,,-0.16,639,--,58.50,61.00,2021-09-01 18:00
松滋河,新江口,41.18,,-0.17,2500,43.00,44.00,45.77,2021-09-01 18:00
,沙道观,41.00,,-0.15,834,43.00,44.00,45.21,2021-09-01 18:00
藕池河,管家铺,35.65,,-0.09,1430,37.50,38.50,39.50,2021-09-01 18:00
,康家岗,35.43,,-0.08,44.9,37.50,38.50,39.87,2021-09-01 18:00
虎渡河,弥陀寺,39.15,,-0.17,734,42.00,43.00,44.15,2021-09-01 18:00
长湖,长湖,30.94,,-0.04,,31.50,32.50,33.50,2021-09-01 18:00
洪湖,挖沟咀,25.50,,-0.08,,25.80,26.20,27.00,2021-09-01 18:00
刁汊湖,五房台,24.16,,-0.02,,--,24.80,26.00,2021-09-01 18:00
斧头湖,三洲,21.98,,-0.01,,21.50,22.80,23.94,2021-09-01 18:00
梁子湖,梁子镇,19.19,,-0.02,,19.00,20.50,21.36,2021-09-01 18:00
汉江,安康,241.71,,3.22,6110,--,--,--,2021-09-01 18:00
,白河,181.70,,2.53,8480,--,187.00,191.00,2021-09-01 18:00
,黄家港,93.27,,-0.07,7340,--,--,--,2021-09-01 18:00
,襄阳,65.82,,-0.28,,65.50,67.00,70.00,2021-09-01 18:00
,宜城,57.79,,-0.26,,56.50,57.50,59.30,2021-09-01 18:00
,皇庄,48.15,,0.76,11400,47.00,48.00,50.62,2021-09-01 18:00
,沙洋,41.49,,0.55,,40.80,41.80,44.50,2021-09-01 18:00
,岳口,37.18,,0.58,,36.90,37.90,40.62,2021-09-01 18:00
,仙桃,34.33,,0.45,7560,34.10,35.10,36.20,2021-09-01 18:00
,汉川,,缺测,-29.26,,28.00,29.00,31.69,2021-09-01 18:00
,丹江口水库,165.18,,-0.12,"6430(入)
7710(出)",--,--,--,2021-09-01 18:00
清江,水布垭,396.54,,-0.44,"353(入)
1030(出)",--,--,--,2021-09-01 18:00
,隔河岩,195.68,,0.01,"1650(入)
1110(出)",--,--,--,2021-09-01 18:00
沮漳河,河溶,42.31,,0.29,192,47.50,48.50,50.00,2021-09-01 18:00
东荆河,潜江,38.53,,0.56,1490,38.40,39.70,42.11,2021-09-01 18:00
汉北河,天门,24.54,,-0.05,62.7,28.30,29.30,30.00,2021-09-01 18:00
大富水,应城,24.11,,-0.09,43.5,27.50,29.00,33.00,2021-09-01 18:00
环水,花园,32.70,,-0.05,24.5,--,37.50,39.95,2021-09-01 18:00
,孝感,24.54,,-0.12,,26.50,27.50,31.00,2021-09-01 18:00
府河,隔蒲潭,24.79,,-0.08,187,29.50,30.50,33.50,2021-09-01 18:00
府澴河,卧龙潭,24.08,,-0.05,,26.50,27.00,29.69,2021-09-01 18:00
富水,阳新,19.20,,0.01,,20.50,21.70,23.00,2021-09-01 18:00
滠水,黄陂,24.13,,0.02,,25.00,26.00,29.31,2021-09-01 18:00
倒水,李家集,24.63,,-0.36,,26.30,28.00,30.73,2021-09-01 18:00
举水,柳子港,23.56,,-0.06,74.3,28.00,29.00,33.11,2021-09-01 18:00
巴水,马家潭,21.52,,-0.02,202,--,--,--,2021-09-01 18:00
蕲水,西河驿,20.15,,0.03,150,--,--,--,2021-09-01 18:00
