河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,173.12,,2.02,28400,--,--,--,2021-09-03 06:00
,武隆,172.16,,0.86,1280,--,--,--,2021-09-03 06:00
,宜昌,47.79,,-0.07,29000,52.00,53.00,55.73,2021-09-03 06:00
,枝城,43.98,,-0.03,29300,48.00,49.00,51.75,2021-09-03 06:00
,沙市,39.24,,-0.04,25000,42.00,43.00,45.00,2021-09-03 06:00
,监利,33.38,,-0.03,23300,34.50,35.70,37.23,2021-09-03 06:00
,莲花塘,30.30,,0.02,,--,32.50,34.40,2021-09-03 06:00
,螺山,29.35,,-0.01,35900,31.00,32.00,34.01,2021-09-03 06:00
,汉口,24.62,,0.05,43900,25.00,27.30,29.73,2021-09-03 06:00
,黄石,21.10,,0.08,,22.80,24.50,27.50,2021-09-03 06:00
,码头镇,18.71,,0.05,,20.50,21.50,24.50,2021-09-03 06:00
,九江,17.56,,0.05,45800,--,20.00,23.25,2021-09-03 06:00
,三峡水库,158.80,,-0.09,27400(出),--,--,--,2021-09-03 06:00
洞庭湖,城陵矶,30.35,,0.01,11500,--,33.00,34.55,2021-09-03 06:00
鄱阳湖,湖口,16.93,,0.05,790,--,19.50,22.50,2021-09-03 06:00
湘江,湘潭,31.82,缺测,0.04,1180,--,38.00,39.50,2021-09-03 06:00
资水,桃江,33.69,,0.22,820,--,39.20,42.30,2021-09-03 06:00
沅水,桃源,33.69,,-0.04,2680,--,42.50,45.40,2021-09-03 06:00
澧水,石门,50.80,,0.06,192,--,58.50,61.00,2021-09-03 06:00
松滋河,新江口,41.08,,-0.05,2460,43.00,44.00,45.77,2021-09-03 06:00
,沙道观,40.90,,-0.04,825,43.00,44.00,45.21,2021-09-03 06:00
藕池河,管家铺,35.56,,-0.05,1390,37.50,38.50,39.50,2021-09-03 06:00
,康家岗,35.32,,-0.05,42.5,37.50,38.50,39.87,2021-09-03 06:00
虎渡河,弥陀寺,39.06,,-0.04,759,42.00,43.00,44.15,2021-09-03 06:00
长湖,长湖,30.89,,-0.04,,31.50,32.50,33.50,2021-09-03 06:00
洪湖,挖沟咀,25.48,,0.02,,25.80,26.20,27.00,2021-09-03 06:00
刁汊湖,五房台,24.12,,0.02,,--,24.80,26.00,2021-09-03 06:00
斧头湖,三洲,21.96,,-0.02,,21.50,22.80,23.94,2021-09-03 06:00
梁子湖,梁子镇,19.17,,-0.01,,19.00,20.50,21.36,2021-09-03 06:00
汉江,安康,239.38,,-2.25,3050,--,--,--,2021-09-03 06:00
,白河,180.27,,-2.59,6170,--,187.00,191.00,2021-09-03 06:00
,黄家港,93.66,,0.39,8440,--,--,--,2021-09-03 06:00
,襄阳,65.76,,0.01,,65.50,67.00,70.00,2021-09-03 06:00
,宜城,56.78,,-0.56,,56.50,57.50,59.30,2021-09-03 06:00
,皇庄,48.02,,-0.27,10700,47.00,48.00,50.62,2021-09-03 06:00
,沙洋,41.98,,0.16,,40.80,41.80,44.50,2021-09-03 06:00
,岳口,37.96,,0.41,,36.90,37.90,40.62,2021-09-03 06:00
,仙桃,35.15,,0.46,8250,34.10,35.10,36.20,2021-09-03 06:00
,汉川,,缺测,-29.67,,28.00,29.00,31.69,2021-09-03 06:00
,丹江口水库,165.89,,0.43,"9580(入)
8680(出)",--,--,--,2021-09-03 06:00
清江,水布垭,395.88,,-0.48,"462(入)
577(出)",--,--,--,2021-09-03 06:00
,隔河岩,195.85,,0.00,"600(入)
638(出)",--,--,--,2021-09-03 06:00
沮漳河,河溶,41.65,,-0.80,139,47.50,48.50,50.00,2021-09-03 06:00
东荆河,潜江,39.28,,0.40,2200,38.40,39.70,42.11,2021-09-03 06:00
汉北河,天门,24.53,,0.02,62.4,28.30,29.30,30.00,2021-09-03 06:00
大富水,应城,24.15,,-0.06,44.7,27.50,29.00,33.00,2021-09-03 06:00
环水,花园,32.65,,-0.03,21.6,--,37.50,39.95,2021-09-03 06:00
,孝感,24.54,,0.02,,26.50,27.50,31.00,2021-09-03 06:00
府河,隔蒲潭,24.83,,-0.01,192,29.50,30.50,33.50,2021-09-03 06:00
府澴河,卧龙潭,24.10,,0.03,,26.50,27.00,29.69,2021-09-03 06:00
富水,阳新,19.25,,0.04,,20.50,21.70,23.00,2021-09-03 06:00
滠水,黄陂,24.17,,0.04,,25.00,26.00,29.31,2021-09-03 06:00
倒水,李家集,24.40,,-0.03,,26.30,28.00,30.73,2021-09-03 06:00
举水,柳子港,23.52,,-0.02,69.3,28.00,29.00,33.11,2021-09-03 06:00
巴水,马家潭,21.62,,0.05,220,--,--,--,2021-09-03 06:00
蕲水,西河驿,20.21,,0.07,162,--,--,--,2021-09-03 06:00
