河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,172.96,,1.89,28000,--,--,--,2021-09-03 05:00
,武隆,173.18,,1.15,1620,--,--,--,2021-09-03 05:00
,宜昌,47.81,,-0.05,29100,52.00,53.00,55.73,2021-09-03 05:00
,枝城,43.98,,-0.02,29400,48.00,49.00,51.75,2021-09-03 05:00
,沙市,39.25,,-0.04,25100,42.00,43.00,45.00,2021-09-03 05:00
,监利,33.37,,-0.04,23300,34.50,35.70,37.23,2021-09-03 05:00
,莲花塘,30.29,,0.02,,--,32.50,34.40,2021-09-03 05:00
,螺山,29.35,,0.00,35900,31.00,32.00,34.01,2021-09-03 05:00
,汉口,24.61,,0.04,43800,25.00,27.30,29.73,2021-09-03 05:00
,黄石,21.09,,0.05,,22.80,24.50,27.50,2021-09-03 05:00
,码头镇,18.70,,0.05,,20.50,21.50,24.50,2021-09-03 05:00
,九江,17.56,,0.05,45800,--,20.00,23.25,2021-09-03 05:00
,三峡水库,158.78,,-0.11,27400(出),--,--,--,2021-09-03 05:00
洞庭湖,城陵矶,30.34,,0.03,11500,--,33.00,34.55,2021-09-03 05:00
鄱阳湖,湖口,16.94,,0.06,791,--,19.50,22.50,2021-09-03 05:00
湘江,湘潭,31.83,缺测,0.05,1190,--,38.00,39.50,2021-09-03 05:00
资水,桃江,33.78,,0.16,868,--,39.20,42.30,2021-09-03 05:00
沅水,桃源,33.68,,-0.04,2660,--,42.50,45.40,2021-09-03 05:00
澧水,石门,50.81,,0.07,196,--,58.50,61.00,2021-09-03 05:00
松滋河,新江口,41.08,,-0.05,2460,43.00,44.00,45.77,2021-09-03 05:00
,沙道观,40.90,,-0.05,822,43.00,44.00,45.21,2021-09-03 05:00
藕池河,管家铺,35.56,,-0.05,1390,37.50,38.50,39.50,2021-09-03 05:00
,康家岗,35.32,,-0.06,42.5,37.50,38.50,39.87,2021-09-03 05:00
虎渡河,弥陀寺,39.05,,-0.05,741,42.00,43.00,44.15,2021-09-03 05:00
长湖,长湖,30.89,,-0.04,,31.50,32.50,33.50,2021-09-03 05:00
洪湖,挖沟咀,25.48,,0.02,,25.80,26.20,27.00,2021-09-03 05:00
刁汊湖,五房台,24.12,,0.02,,--,24.80,26.00,2021-09-03 05:00
斧头湖,三洲,21.96,,-0.02,,21.50,22.80,23.94,2021-09-03 05:00
梁子湖,梁子镇,19.17,,-0.02,,19.00,20.50,21.36,2021-09-03 05:00
汉江,安康,239.37,,-2.29,3040,--,--,--,2021-09-03 05:00
,白河,180.44,,-2.33,6300,--,187.00,191.00,2021-09-03 05:00
,黄家港,93.71,,0.44,8580,--,--,--,2021-09-03 05:00
,襄阳,65.75,,0.00,,65.50,67.00,70.00,2021-09-03 05:00
,宜城,56.80,,-0.57,,56.50,57.50,59.30,2021-09-03 05:00
,皇庄,48.07,,-0.20,10800,47.00,48.00,50.62,2021-09-03 05:00
,沙洋,41.98,,0.19,,40.80,41.80,44.50,2021-09-03 05:00
,岳口,37.94,,0.40,,36.90,37.90,40.62,2021-09-03 05:00
,仙桃,35.12,,0.47,8240,34.10,35.10,36.20,2021-09-03 05:00
,汉川,29.97,,0.30,,28.00,29.00,31.69,2021-09-03 05:00
,丹江口水库,165.89,,0.46,"10500(入)
8690(出)",--,--,--,2021-09-03 05:00
清江,水布垭,395.89,,-0.47,"517(入)
577(出)",--,--,--,2021-09-03 05:00
,隔河岩,195.83,,0.01,"445(入)
639(出)",--,--,--,2021-09-03 05:00
沮漳河,河溶,41.67,,-0.78,141,47.50,48.50,50.00,2021-09-03 05:00
东荆河,潜江,39.28,,0.42,2200,38.40,39.70,42.11,2021-09-03 05:00
汉北河,天门,24.53,,0.02,62.4,28.30,29.30,30.00,2021-09-03 05:00
大富水,应城,24.14,,-0.09,44.5,27.50,29.00,33.00,2021-09-03 05:00
环水,花园,32.65,,-0.03,21.6,--,37.50,39.95,2021-09-03 05:00
,孝感,24.53,,-0.03,,26.50,27.50,31.00,2021-09-03 05:00
府河,隔蒲潭,24.84,,0.02,193,29.50,30.50,33.50,2021-09-03 05:00
府澴河,卧龙潭,24.10,,0.03,,26.50,27.00,29.69,2021-09-03 05:00
富水,阳新,19.25,,0.04,,20.50,21.70,23.00,2021-09-03 05:00
滠水,黄陂,24.17,,0.04,,25.00,26.00,29.31,2021-09-03 05:00
倒水,李家集,24.38,,-0.08,,26.30,28.00,30.73,2021-09-03 05:00
举水,柳子港,23.52,,-0.03,69.3,28.00,29.00,33.11,2021-09-03 05:00
巴水,马家潭,21.61,,0.05,218,--,--,--,2021-09-03 05:00
蕲水,西河驿,20.19,,0.04,158,--,--,--,2021-09-03 05:00
