河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.65,,-2.98,23700,--,--,--,2021-09-01 15:00
,武隆,175.95,,2.85,2600,--,--,--,2021-09-01 15:00
,宜昌,47.86,,-0.10,29300,52.00,53.00,55.73,2021-09-01 15:00
,枝城,44.03,,-0.16,29400,48.00,49.00,51.75,2021-09-01 15:00
,沙市,39.35,,-0.17,25300,42.00,43.00,45.00,2021-09-01 15:00
,监利,33.48,,-0.04,23900,34.50,35.70,37.23,2021-09-01 15:00
,莲花塘,30.31,,-0.03,,--,32.50,34.40,2021-09-01 15:00
,螺山,29.40,,-0.01,35500,31.00,32.00,34.01,2021-09-01 15:00
,汉口,24.57,,0.01,43600,25.00,27.30,29.73,2021-09-01 15:00
,黄石,21.02,,0.02,,22.80,24.50,27.50,2021-09-01 15:00
,码头镇,18.66,,0.03,,20.50,21.50,24.50,2021-09-01 15:00
,九江,17.52,,0.02,45600,--,20.00,23.25,2021-09-01 15:00
,三峡水库,158.76,,1.07,27500(出),--,--,--,2021-09-01 15:00
洞庭湖,城陵矶,30.38,,-0.03,10600,--,33.00,34.55,2021-09-01 15:00
鄱阳湖,湖口,16.88,,0.03,1270,--,19.50,22.50,2021-09-01 15:00
湘江,湘潭,31.70,缺测,0.10,964,--,38.00,39.50,2021-09-01 15:00
资水,桃江,,缺测,-32.99,,--,39.20,42.30,2021-09-01 15:00
沅水,桃源,,缺测,-33.73,,--,42.50,45.40,2021-09-01 15:00
澧水,石门,,缺测,-51.64,,--,58.50,61.00,2021-09-01 15:00
松滋河,新江口,41.20,,-0.17,2510,43.00,44.00,45.77,2021-09-01 15:00
,沙道观,41.02,,-0.17,838,43.00,44.00,45.21,2021-09-01 15:00
藕池河,管家铺,35.66,,-0.09,1430,37.50,38.50,39.50,2021-09-01 15:00
,康家岗,35.44,,-0.09,45.1,37.50,38.50,39.87,2021-09-01 15:00
虎渡河,弥陀寺,39.18,,-0.16,743,42.00,43.00,44.15,2021-09-01 15:00
长湖,长湖,30.94,,-0.04,,31.50,32.50,33.50,2021-09-01 15:00
洪湖,挖沟咀,25.51,,-0.09,,25.80,26.20,27.00,2021-09-01 15:00
刁汊湖,五房台,24.18,,-0.04,,--,24.80,26.00,2021-09-01 15:00
斧头湖,三洲,21.98,,-0.01,,21.50,22.80,23.94,2021-09-01 15:00
梁子湖,梁子镇,19.20,,-0.02,,19.00,20.50,21.36,2021-09-01 15:00
汉江,安康,240.24,,1.75,4080,--,--,--,2021-09-01 15:00
,白河,180.68,,1.52,6350,--,187.00,191.00,2021-09-01 15:00
,黄家港,93.27,,-0.05,7340,--,--,--,2021-09-01 15:00
,襄阳,65.83,,-0.27,,65.50,67.00,70.00,2021-09-01 15:00
,宜城,57.92,,-0.01,,56.50,57.50,59.30,2021-09-01 15:00
,皇庄,48.08,,0.81,11300,47.00,48.00,50.62,2021-09-01 15:00
,沙洋,41.38,,0.45,,40.80,41.80,44.50,2021-09-01 15:00
,岳口,37.08,,0.49,,36.90,37.90,40.62,2021-09-01 15:00
,仙桃,34.26,,0.37,7270,34.10,35.10,36.20,2021-09-01 15:00
,汉川,29.41,,0.17,,28.00,29.00,31.69,2021-09-01 15:00
,丹江口水库,165.19,,-0.14,"6430(入)
7710(出)",--,--,--,2021-09-01 15:00
清江,水布垭,396.64,,-0.40,"512(入)
1030(出)",--,--,--,2021-09-01 15:00
,隔河岩,195.67,,0.00,"713(入)
1190(出)",--,--,--,2021-09-01 15:00
沮漳河,河溶,42.27,,0.17,190,47.50,48.50,50.00,2021-09-01 15:00
东荆河,潜江,38.44,,0.49,1340,38.40,39.70,42.11,2021-09-01 15:00
汉北河,天门,24.56,,-0.06,63.2,28.30,29.30,30.00,2021-09-01 15:00
大富水,应城,24.11,,-0.12,43.5,27.50,29.00,33.00,2021-09-01 15:00
环水,花园,32.71,,-0.04,25.1,--,37.50,39.95,2021-09-01 15:00
,孝感,24.60,,-0.06,,26.50,27.50,31.00,2021-09-01 15:00
府河,隔蒲潭,24.80,,-0.07,188,29.50,30.50,33.50,2021-09-01 15:00
府澴河,卧龙潭,24.09,,-0.04,,26.50,27.00,29.69,2021-09-01 15:00
富水,阳新,19.21,,0.04,,20.50,21.70,23.00,2021-09-01 15:00
滠水,黄陂,24.12,,0.01,,25.00,26.00,29.31,2021-09-01 15:00
倒水,李家集,24.68,,-0.33,,26.30,28.00,30.73,2021-09-01 15:00
举水,柳子港,23.56,,-0.07,74.3,28.00,29.00,33.11,2021-09-01 15:00
巴水,马家潭,21.54,,0.02,206,--,--,--,2021-09-01 15:00
蕲水,西河驿,20.14,,0.03,148,--,--,--,2021-09-01 15:00
