河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,173.56,,2.39,30200,--,--,--,2021-09-03 11:00
,武隆,173.84,,0.23,1870,--,--,--,2021-09-03 11:00
,宜昌,47.68,,-0.07,28600,52.00,53.00,55.73,2021-09-03 11:00
,枝城,43.92,,-0.04,28800,48.00,49.00,51.75,2021-09-03 11:00
,沙市,39.24,,-0.04,25000,42.00,43.00,45.00,2021-09-03 11:00
,监利,33.37,,-0.02,23300,34.50,35.70,37.23,2021-09-03 11:00
,莲花塘,30.33,,0.03,,--,32.50,34.40,2021-09-03 11:00
,螺山,29.35,,0.00,36000,31.00,32.00,34.01,2021-09-03 11:00
,汉口,24.61,,0.03,43800,25.00,27.30,29.73,2021-09-03 11:00
,黄石,21.10,,0.07,,22.80,24.50,27.50,2021-09-03 11:00
,码头镇,18.70,,0.05,,20.50,21.50,24.50,2021-09-03 11:00
,九江,17.57,,0.05,45900,--,20.00,23.25,2021-09-03 11:00
,三峡水库,158.81,,-0.06,27400(出),--,--,--,2021-09-03 11:00
洞庭湖,城陵矶,30.38,,-0.01,11400,--,33.00,34.55,2021-09-03 11:00
鄱阳湖,湖口,16.96,,0.06,787,--,19.50,22.50,2021-09-03 11:00
湘江,湘潭,31.76,缺测,-0.02,1130,--,38.00,39.50,2021-09-03 11:00
资水,桃江,33.50,,-0.04,724,--,39.20,42.30,2021-09-03 11:00
沅水,桃源,33.69,,-0.22,2680,--,42.50,45.40,2021-09-03 11:00
澧水,石门,51.31,,0.07,464,--,58.50,61.00,2021-09-03 11:00
松滋河,新江口,41.08,,-0.05,2450,43.00,44.00,45.77,2021-09-03 11:00
,沙道观,40.91,,-0.05,819,43.00,44.00,45.21,2021-09-03 11:00
藕池河,管家铺,35.55,,-0.04,1390,37.50,38.50,39.50,2021-09-03 11:00
,康家岗,35.31,,-0.05,42.2,37.50,38.50,39.87,2021-09-03 11:00
虎渡河,弥陀寺,39.05,,-0.05,754,42.00,43.00,44.15,2021-09-03 11:00
长湖,长湖,30.89,,-0.03,,31.50,32.50,33.50,2021-09-03 11:00
洪湖,挖沟咀,25.48,,0.02,,25.80,26.20,27.00,2021-09-03 11:00
刁汊湖,五房台,24.16,,0.04,,--,24.80,26.00,2021-09-03 11:00
斧头湖,三洲,21.94,,-0.04,,21.50,22.80,23.94,2021-09-03 11:00
梁子湖,梁子镇,19.17,,-0.01,,19.00,20.50,21.36,2021-09-03 11:00
汉江,安康,239.31,,-1.65,2980,--,--,--,2021-09-03 11:00
,白河,179.58,,-3.16,5130,--,187.00,191.00,2021-09-03 11:00
,黄家港,93.66,,0.38,8440,--,--,--,2021-09-03 11:00
,襄阳,65.84,,0.12,,65.50,67.00,70.00,2021-09-03 11:00
,宜城,56.76,,-0.43,,56.50,57.50,59.30,2021-09-03 11:00
,皇庄,47.97,,-0.28,10100,47.00,48.00,50.62,2021-09-03 11:00
,沙洋,41.97,,0.13,,40.80,41.80,44.50,2021-09-03 11:00
,岳口,38.01,,0.44,,36.90,37.90,40.62,2021-09-03 11:00
,仙桃,,缺测,-34.77,,34.10,35.10,36.20,2021-09-03 11:00
,汉川,30.14,,0.37,,28.00,29.00,31.69,2021-09-03 11:00
,丹江口水库,165.91,,0.30,"9580(入)
8680(出)",--,--,--,2021-09-03 11:00
清江,水布垭,395.76,,-0.49,"501(入)
1030(出)",--,--,--,2021-09-03 11:00
,隔河岩,195.86,,0.00,"1290(入)
879(出)",--,--,--,2021-09-03 11:00
沮漳河,河溶,41.65,,-0.62,139,47.50,48.50,50.00,2021-09-03 11:00
东荆河,潜江,39.33,,0.38,2230,38.40,39.70,42.11,2021-09-03 11:00
汉北河,天门,24.54,,0.02,62.7,28.30,29.30,30.00,2021-09-03 11:00
大富水,应城,24.15,,0.02,44.7,27.50,29.00,33.00,2021-09-03 11:00
环水,花园,32.65,,-0.03,21.6,--,37.50,39.95,2021-09-03 11:00
,孝感,24.55,,0.02,,26.50,27.50,31.00,2021-09-03 11:00
府河,隔蒲潭,24.77,,-0.13,184,29.50,30.50,33.50,2021-09-03 11:00
府澴河,卧龙潭,24.10,,0.02,,26.50,27.00,29.69,2021-09-03 11:00
富水,阳新,19.25,,0.04,,20.50,21.70,23.00,2021-09-03 11:00
滠水,黄陂,24.17,,0.04,,25.00,26.00,29.31,2021-09-03 11:00
倒水,李家集,24.38,,0.05,,26.30,28.00,30.73,2021-09-03 11:00
举水,柳子港,23.52,,-0.02,69.3,28.00,29.00,33.11,2021-09-03 11:00
巴水,马家潭,21.62,,0.05,220,--,--,--,2021-09-03 11:00
蕲水,西河驿,20.23,,0.09,166,--,--,--,2021-09-03 11:00
