河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.08,,-1.17,22500,--,--,--,2021-09-02 04:00
,武隆,172.79,,1.37,1480,--,--,--,2021-09-02 04:00
,宜昌,47.83,,-0.18,29200,52.00,53.00,55.73,2021-09-02 04:00
,枝城,43.99,,-0.10,29300,48.00,49.00,51.75,2021-09-02 04:00
,沙市,39.29,,-0.12,25200,42.00,43.00,45.00,2021-09-02 04:00
,监利,33.41,,-0.08,23700,34.50,35.70,37.23,2021-09-02 04:00
,莲花塘,30.23,,-0.15,,--,32.50,34.40,2021-09-02 04:00
,螺山,29.35,,-0.06,35500,31.00,32.00,34.01,2021-09-02 04:00
,汉口,24.57,,0.00,43600,25.00,27.30,29.73,2021-09-02 04:00
,黄石,21.03,,0.02,,22.80,24.50,27.50,2021-09-02 04:00
,码头镇,18.67,,0.04,,20.50,21.50,24.50,2021-09-02 04:00
,九江,17.51,,0.03,45600,--,20.00,23.25,2021-09-02 04:00
,三峡水库,158.89,,0.40,27500(出),--,--,--,2021-09-02 04:00
洞庭湖,城陵矶,30.30,,-0.12,10200,--,33.00,34.55,2021-09-02 04:00
鄱阳湖,湖口,16.87,,0.03,1180,--,19.50,22.50,2021-09-02 04:00
湘江,湘潭,31.76,缺测,0.11,1040,--,38.00,39.50,2021-09-02 04:00
资水,桃江,33.73,,0.38,874,--,39.20,42.30,2021-09-02 04:00
沅水,桃源,33.72,,0.02,2720,--,42.50,45.40,2021-09-02 04:00
澧水,石门,50.75,,-0.47,174,--,58.50,61.00,2021-09-02 04:00
松滋河,新江口,41.13,,-0.12,2480,43.00,44.00,45.77,2021-09-02 04:00
,沙道观,40.96,,-0.12,828,43.00,44.00,45.21,2021-09-02 04:00
藕池河,管家铺,35.61,,-0.09,1410,37.50,38.50,39.50,2021-09-02 04:00
,康家岗,35.39,,-0.09,44.0,37.50,38.50,39.87,2021-09-02 04:00
虎渡河,弥陀寺,39.11,,-0.12,733,42.00,43.00,44.15,2021-09-02 04:00
长湖,长湖,30.92,,-0.04,,31.50,32.50,33.50,2021-09-02 04:00
洪湖,挖沟咀,25.47,,-0.07,,25.80,26.20,27.00,2021-09-02 04:00
刁汊湖,五房台,24.10,,-0.03,,--,24.80,26.00,2021-09-02 04:00
斧头湖,三洲,21.98,,0.00,,21.50,22.80,23.94,2021-09-02 04:00
梁子湖,梁子镇,19.19,,-0.01,,19.00,20.50,21.36,2021-09-02 04:00
汉江,安康,241.68,,4.06,6060,--,--,--,2021-09-02 04:00
,白河,182.70,,3.42,10700,--,187.00,191.00,2021-09-02 04:00
,黄家港,93.27,,-0.02,7340,--,--,--,2021-09-02 04:00
,襄阳,65.76,,-0.24,,65.50,67.00,70.00,2021-09-02 04:00
,宜城,57.40,,-0.73,,56.50,57.50,59.30,2021-09-02 04:00
,皇庄,48.27,,0.53,11800,47.00,48.00,50.62,2021-09-02 04:00
,沙洋,41.77,,0.66,,40.80,41.80,44.50,2021-09-02 04:00
,岳口,37.50,,0.69,,36.90,37.90,40.62,2021-09-02 04:00
,仙桃,34.62,,0.60,7780,34.10,35.10,36.20,2021-09-02 04:00
,汉川,29.65,,0.35,,28.00,29.00,31.69,2021-09-02 04:00
,丹江口水库,165.40,,0.14,"15400(入)
7740(出)",--,--,--,2021-09-02 04:00
清江,水布垭,396.37,,-0.51,"461(入)
521(出)",--,--,--,2021-09-02 04:00
,隔河岩,195.78,,0.09,"807(入)
112(出)",--,--,--,2021-09-02 04:00
沮漳河,河溶,42.44,,0.58,196,47.50,48.50,50.00,2021-09-02 04:00
东荆河,潜江,38.83,,0.67,1560,38.40,39.70,42.11,2021-09-02 04:00
汉北河,天门,24.51,,-0.08,61.9,28.30,29.30,30.00,2021-09-02 04:00
大富水,应城,24.23,,0.07,45.6,27.50,29.00,33.00,2021-09-02 04:00
环水,花园,32.68,,-0.04,23.3,--,37.50,39.95,2021-09-02 04:00
,孝感,24.49,,-0.18,,26.50,27.50,31.00,2021-09-02 04:00
府河,隔蒲潭,24.81,,-0.04,189,29.50,30.50,33.50,2021-09-02 04:00
府澴河,卧龙潭,24.07,,-0.06,,26.50,27.00,29.69,2021-09-02 04:00
富水,阳新,19.21,,0.04,,20.50,21.70,23.00,2021-09-02 04:00
滠水,黄陂,24.12,,0.01,,25.00,26.00,29.31,2021-09-02 04:00
倒水,李家集,24.47,,-0.37,,26.30,28.00,30.73,2021-09-02 04:00
举水,柳子港,23.55,,-0.03,73.0,28.00,29.00,33.11,2021-09-02 04:00
巴水,马家潭,21.57,,0.03,211,--,--,--,2021-09-02 04:00
蕲水,西河驿,20.15,,0.02,150,--,--,--,2021-09-02 04:00
