河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.69,,-3.15,23800,--,--,--,2021-09-01 14:00
,武隆,175.70,,2.83,2520,--,--,--,2021-09-01 14:00
,宜昌,47.80,,-0.14,29100,52.00,53.00,55.73,2021-09-01 14:00
,枝城,44.04,,-0.17,29300,48.00,49.00,51.75,2021-09-01 14:00
,沙市,39.36,,-0.17,25400,42.00,43.00,45.00,2021-09-01 14:00
,监利,33.47,,-0.06,23800,34.50,35.70,37.23,2021-09-01 14:00
,莲花塘,30.31,,-0.02,,--,32.50,34.40,2021-09-01 14:00
,螺山,29.40,,0.01,35500,31.00,32.00,34.01,2021-09-01 14:00
,汉口,24.58,,0.01,43700,25.00,27.30,29.73,2021-09-01 14:00
,黄石,21.03,,0.03,,22.80,24.50,27.50,2021-09-01 14:00
,码头镇,18.65,,0.02,,20.50,21.50,24.50,2021-09-01 14:00
,九江,17.52,,0.00,45600,--,20.00,23.25,2021-09-01 14:00
,三峡水库,158.76,,1.16,"29000(入)
27500(出)",--,--,--,2021-09-01 14:00
洞庭湖,城陵矶,30.36,,-0.03,10500,--,33.00,34.55,2021-09-01 14:00
鄱阳湖,湖口,16.89,,0.04,1250,--,19.50,22.50,2021-09-01 14:00
湘江,湘潭,31.69,缺测,0.08,952,--,38.00,39.50,2021-09-01 14:00
资水,桃江,33.19,,0.13,619,--,39.20,42.30,2021-09-01 14:00
沅水,桃源,33.73,,0.03,2730,--,42.50,45.40,2021-09-01 14:00
澧水,石门,51.46,,-0.19,563,--,58.50,61.00,2021-09-01 14:00
松滋河,新江口,41.21,,-0.18,2510,43.00,44.00,45.77,2021-09-01 14:00
,沙道观,41.03,,-0.17,842,43.00,44.00,45.21,2021-09-01 14:00
藕池河,管家铺,35.66,,-0.10,1440,37.50,38.50,39.50,2021-09-01 14:00
,康家岗,35.44,,-0.09,45.1,37.50,38.50,39.87,2021-09-01 14:00
虎渡河,弥陀寺,39.18,,-0.17,761,42.00,43.00,44.15,2021-09-01 14:00
长湖,长湖,30.95,,-0.03,,31.50,32.50,33.50,2021-09-01 14:00
洪湖,挖沟咀,25.51,,-0.10,,25.80,26.20,27.00,2021-09-01 14:00
刁汊湖,五房台,24.17,,-0.05,,--,24.80,26.00,2021-09-01 14:00
斧头湖,三洲,21.98,,-0.01,,21.50,22.80,23.94,2021-09-01 14:00
梁子湖,梁子镇,19.20,,-0.02,,19.00,20.50,21.36,2021-09-01 14:00
汉江,安康,240.17,,1.68,3990,--,--,--,2021-09-01 14:00
,白河,180.41,,1.34,6090,--,187.00,191.00,2021-09-01 14:00
,黄家港,93.28,,-0.02,7360,--,--,--,2021-09-01 14:00
,襄阳,65.84,,-0.26,,65.50,67.00,70.00,2021-09-01 14:00
,宜城,57.95,,0.08,,56.50,57.50,59.30,2021-09-01 14:00
,皇庄,48.07,,0.82,11300,47.00,48.00,50.62,2021-09-01 14:00
,沙洋,41.36,,0.44,,40.80,41.80,44.50,2021-09-01 14:00
,岳口,37.07,,0.50,,36.90,37.90,40.62,2021-09-01 14:00
,仙桃,34.24,,0.36,7250,34.10,35.10,36.20,2021-09-01 14:00
,汉川,29.39,,0.16,,28.00,29.00,31.69,2021-09-01 14:00
,丹江口水库,165.20,,-0.14,"6440(入)
7710(出)",--,--,--,2021-09-01 14:00
清江,水布垭,396.67,,-0.40,"375(入)
964(出)",--,--,--,2021-09-01 14:00
,隔河岩,195.67,,0.00,"375(入)
1190(出)",--,--,--,2021-09-01 14:00
沮漳河,河溶,42.26,,0.12,190,47.50,48.50,50.00,2021-09-01 14:00
东荆河,潜江,38.43,,0.49,1340,38.40,39.70,42.11,2021-09-01 14:00
汉北河,天门,24.56,,-0.06,63.2,28.30,29.30,30.00,2021-09-01 14:00
大富水,应城,24.11,,-0.13,43.5,27.50,29.00,33.00,2021-09-01 14:00
环水,花园,32.72,,-0.04,25.7,--,37.50,39.95,2021-09-01 14:00
,孝感,24.61,,-0.06,,26.50,27.50,31.00,2021-09-01 14:00
府河,隔蒲潭,24.81,,-0.06,189,29.50,30.50,33.50,2021-09-01 14:00
府澴河,卧龙潭,24.09,,-0.04,,26.50,27.00,29.69,2021-09-01 14:00
富水,阳新,19.20,,0.04,,20.50,21.70,23.00,2021-09-01 14:00
滠水,黄陂,24.11,,-0.01,,25.00,26.00,29.31,2021-09-01 14:00
倒水,李家集,24.69,,-0.32,,26.30,28.00,30.73,2021-09-01 14:00
举水,柳子港,23.56,,-0.07,74.3,28.00,29.00,33.11,2021-09-01 14:00
巴水,马家潭,21.55,,0.04,207,--,--,--,2021-09-01 14:00
蕲水,西河驿,20.13,,0.03,146,--,--,--,2021-09-01 14:00
