河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.07,,-1.43,22500,--,--,--,2021-09-02 02:00
,武隆,174.58,,2.17,2140,--,--,--,2021-09-02 02:00
,宜昌,47.78,,-0.07,29000,52.00,53.00,55.73,2021-09-02 02:00
,枝城,43.98,,-0.10,29200,48.00,49.00,51.75,2021-09-02 02:00
,沙市,39.29,,-0.14,25100,42.00,43.00,45.00,2021-09-02 02:00
,监利,33.43,,-0.07,23600,34.50,35.70,37.23,2021-09-02 02:00
,莲花塘,30.28,,0.00,,--,32.50,34.40,2021-09-02 02:00
,螺山,29.35,,-0.05,35600,31.00,32.00,34.01,2021-09-02 02:00
,汉口,24.57,,0.00,43600,25.00,27.30,29.73,2021-09-02 02:00
,黄石,21.03,,0.01,,22.80,24.50,27.50,2021-09-02 02:00
,码头镇,18.66,,0.02,,20.50,21.50,24.50,2021-09-02 02:00
,九江,17.51,,0.02,45600,--,20.00,23.25,2021-09-02 02:00
,三峡水库,158.87,,0.49,"28500(入)
27500(出)",--,--,--,2021-09-02 02:00
洞庭湖,城陵矶,30.31,,-0.05,10300,--,33.00,34.55,2021-09-02 02:00
鄱阳湖,湖口,16.87,,0.03,1200,--,19.50,22.50,2021-09-02 02:00
湘江,湘潭,31.75,缺测,31.75,1020,--,38.00,39.50,2021-09-02 02:00
资水,桃江,33.81,,1.05,917,--,39.20,42.30,2021-09-02 02:00
沅水,桃源,33.69,,-0.01,2690,--,42.50,45.40,2021-09-02 02:00
澧水,石门,50.83,,-0.50,205,--,58.50,61.00,2021-09-02 02:00
松滋河,新江口,41.14,,-0.14,2480,43.00,44.00,45.77,2021-09-02 02:00
,沙道观,40.97,,-0.12,828,43.00,44.00,45.21,2021-09-02 02:00
藕池河,管家铺,35.62,,-0.09,1420,37.50,38.50,39.50,2021-09-02 02:00
,康家岗,35.40,,-0.10,44.3,37.50,38.50,39.87,2021-09-02 02:00
虎渡河,弥陀寺,39.12,,-0.13,724,42.00,43.00,44.15,2021-09-02 02:00
长湖,长湖,30.92,,-0.05,,31.50,32.50,33.50,2021-09-02 02:00
洪湖,挖沟咀,25.47,,-0.08,,25.80,26.20,27.00,2021-09-02 02:00
刁汊湖,五房台,24.11,,-0.01,,--,24.80,26.00,2021-09-02 02:00
斧头湖,三洲,21.98,,-0.01,,21.50,22.80,23.94,2021-09-02 02:00
梁子湖,梁子镇,19.19,,-0.02,,19.00,20.50,21.36,2021-09-02 02:00
汉江,安康,241.76,,4.14,6190,--,--,--,2021-09-02 02:00
,白河,182.51,,3.08,10500,--,187.00,191.00,2021-09-02 02:00
,黄家港,93.28,,-0.01,7360,--,--,--,2021-09-02 02:00
,襄阳,65.76,,-0.27,,65.50,67.00,70.00,2021-09-02 02:00
,宜城,57.46,,-0.68,,56.50,57.50,59.30,2021-09-02 02:00
,皇庄,48.26,,0.59,11800,47.00,48.00,50.62,2021-09-02 02:00
,沙洋,41.73,,0.68,,40.80,41.80,44.50,2021-09-02 02:00
,岳口,37.44,,0.68,,36.90,37.90,40.62,2021-09-02 02:00
,仙桃,34.54,,0.57,7730,34.10,35.10,36.20,2021-09-02 02:00
,汉川,29.61,,0.34,,28.00,29.00,31.69,2021-09-02 02:00
,丹江口水库,165.33,,0.07,"13700(入)
7730(出)",--,--,--,2021-09-02 02:00
清江,水布垭,396.37,,-0.53,"472(入)
521(出)",--,--,--,2021-09-02 02:00
,隔河岩,195.72,,0.04,"456(入)
426(出)",--,--,--,2021-09-02 02:00
沮漳河,河溶,42.38,,0.51,194,47.50,48.50,50.00,2021-09-02 02:00
东荆河,潜江,38.79,,0.66,1550,38.40,39.70,42.11,2021-09-02 02:00
汉北河,天门,24.51,,-0.08,61.9,28.30,29.30,30.00,2021-09-02 02:00
大富水,应城,24.18,,0.01,45.2,27.50,29.00,33.00,2021-09-02 02:00
环水,花园,32.69,,-0.03,23.9,--,37.50,39.95,2021-09-02 02:00
,孝感,24.49,,-0.18,,26.50,27.50,31.00,2021-09-02 02:00
府河,隔蒲潭,24.79,,-0.07,187,29.50,30.50,33.50,2021-09-02 02:00
府澴河,卧龙潭,24.07,,-0.07,,26.50,27.00,29.69,2021-09-02 02:00
富水,阳新,19.22,,0.04,,20.50,21.70,23.00,2021-09-02 02:00
滠水,黄陂,24.11,,0.00,,25.00,26.00,29.31,2021-09-02 02:00
倒水,李家集,24.52,,-0.33,,26.30,28.00,30.73,2021-09-02 02:00
举水,柳子港,23.55,,-0.04,73.0,28.00,29.00,33.11,2021-09-02 02:00
巴水,马家潭,21.56,,0.02,209,--,--,--,2021-09-02 02:00
蕲水,西河驿,20.14,,0.02,148,--,--,--,2021-09-02 02:00
