河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.65,,0.42,24600,--,--,--,2021-09-02 21:00
,武隆,175.94,,-0.06,2600,--,--,--,2021-09-02 21:00
,宜昌,47.70,,-0.11,28700,52.00,53.00,55.73,2021-09-02 21:00
,枝城,43.94,,-0.08,28900,48.00,49.00,51.75,2021-09-02 21:00
,沙市,39.26,,-0.06,25100,42.00,43.00,45.00,2021-09-02 21:00
,监利,33.39,,-0.06,23300,34.50,35.70,37.23,2021-09-02 21:00
,莲花塘,30.31,,-0.01,,--,32.50,34.40,2021-09-02 21:00
,螺山,29.38,,0.00,35900,31.00,32.00,34.01,2021-09-02 21:00
,汉口,24.60,,0.02,43800,25.00,27.30,29.73,2021-09-02 21:00
,黄石,21.10,,0.06,,22.80,24.50,27.50,2021-09-02 21:00
,码头镇,18.68,,0.01,,20.50,21.50,24.50,2021-09-02 21:00
,九江,17.53,,0.02,45700,--,20.00,23.25,2021-09-02 21:00
,三峡水库,158.81,,-0.02,27500(出),--,--,--,2021-09-02 21:00
洞庭湖,城陵矶,30.36,,-0.01,11500,--,33.00,34.55,2021-09-02 21:00
鄱阳湖,湖口,16.87,,0.00,796,--,19.50,22.50,2021-09-02 21:00
湘江,湘潭,31.87,缺测,31.87,1240,--,38.00,39.50,2021-09-02 21:00
资水,桃江,33.48,,-0.16,715,--,39.20,42.30,2021-09-02 21:00
沅水,桃源,33.73,,0.04,2720,--,42.50,45.40,2021-09-02 21:00
澧水,石门,51.93,,0.23,891,--,58.50,61.00,2021-09-02 21:00
松滋河,新江口,41.09,,-0.08,2450,43.00,44.00,45.77,2021-09-02 21:00
,沙道观,40.92,,-0.07,822,43.00,44.00,45.21,2021-09-02 21:00
藕池河,管家铺,35.58,,-0.07,1390,37.50,38.50,39.50,2021-09-02 21:00
,康家岗,35.34,,-0.07,42.9,37.50,38.50,39.87,2021-09-02 21:00
虎渡河,弥陀寺,39.07,,-0.07,729,42.00,43.00,44.15,2021-09-02 21:00
长湖,长湖,30.90,,-0.04,,31.50,32.50,33.50,2021-09-02 21:00
洪湖,挖沟咀,25.49,,0.00,,25.80,26.20,27.00,2021-09-02 21:00
刁汊湖,五房台,24.11,,-0.01,,--,24.80,26.00,2021-09-02 21:00
斧头湖,三洲,21.97,,-0.01,,21.50,22.80,23.94,2021-09-02 21:00
梁子湖,梁子镇,19.17,,-0.02,,19.00,20.50,21.36,2021-09-02 21:00
汉江,安康,240.11,,-1.72,3910,--,--,--,2021-09-02 21:00
,白河,181.01,,-1.48,7440,--,187.00,191.00,2021-09-02 21:00
,黄家港,93.62,,0.35,8320,--,--,--,2021-09-02 21:00
,襄阳,65.74,,-0.07,,65.50,67.00,70.00,2021-09-02 21:00
,宜城,56.91,,-0.73,,56.50,57.50,59.30,2021-09-02 21:00
,皇庄,48.17,,-0.02,11000,47.00,48.00,50.62,2021-09-02 21:00
,沙洋,41.92,,41.92,,40.80,41.80,44.50,2021-09-02 21:00
,岳口,37.79,,0.51,,36.90,37.90,40.62,2021-09-02 21:00
,仙桃,34.96,,0.54,8120,34.10,35.10,36.20,2021-09-02 21:00
,汉川,29.86,,0.38,,28.00,29.00,31.69,2021-09-02 21:00
,丹江口水库,165.83,,0.63,"13400(入)
8650(出)",--,--,--,2021-09-02 21:00
清江,水布垭,395.96,,-0.47,"514(入)
1040(出)",--,--,--,2021-09-02 21:00
,隔河岩,195.84,,0.15,"1140(入)
1190(出)",--,--,--,2021-09-02 21:00
沮漳河,河溶,41.95,,-0.37,178,47.50,48.50,50.00,2021-09-02 21:00
东荆河,潜江,39.12,,0.49,2120,38.40,39.70,42.11,2021-09-02 21:00
汉北河,天门,24.49,,-0.03,61.3,28.30,29.30,30.00,2021-09-02 21:00
大富水,应城,24.12,,0.03,43.8,27.50,29.00,33.00,2021-09-02 21:00
环水,花园,32.66,,-0.03,22.1,--,37.50,39.95,2021-09-02 21:00
,孝感,24.52,,0.01,,26.50,27.50,31.00,2021-09-02 21:00
府河,隔蒲潭,24.91,,0.14,202,29.50,30.50,33.50,2021-09-02 21:00
府澴河,卧龙潭,24.08,,0.01,,26.50,27.00,29.69,2021-09-02 21:00
富水,阳新,19.25,,0.06,,20.50,21.70,23.00,2021-09-02 21:00
滠水,黄陂,24.14,,0.03,,25.00,26.00,29.31,2021-09-02 21:00
倒水,李家集,24.31,,-0.28,,26.30,28.00,30.73,2021-09-02 21:00
举水,柳子港,23.53,,-0.02,70.5,28.00,29.00,33.11,2021-09-02 21:00
巴水,马家潭,21.61,,0.06,218,--,--,--,2021-09-02 21:00
蕲水,西河驿,20.22,,0.07,164,--,--,--,2021-09-02 21:00
