河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.17,,-0.64,23200,--,--,--,2021-09-02 11:00
,武隆,173.61,,-0.19,1780,--,--,--,2021-09-02 11:00
,宜昌,47.75,,-0.12,28900,52.00,53.00,55.73,2021-09-02 11:00
,枝城,43.96,,-0.11,29000,48.00,49.00,51.75,2021-09-02 11:00
,沙市,39.28,,-0.11,25300,42.00,43.00,45.00,2021-09-02 11:00
,监利,33.39,,-0.08,23600,34.50,35.70,37.23,2021-09-02 11:00
,莲花塘,30.30,,-0.05,,--,32.50,34.40,2021-09-02 11:00
,螺山,29.35,,-0.07,35700,31.00,32.00,34.01,2021-09-02 11:00
,汉口,24.58,,0.00,43700,25.00,27.30,29.73,2021-09-02 11:00
,黄石,21.03,,0.00,,22.80,24.50,27.50,2021-09-02 11:00
,码头镇,18.65,,0.02,,20.50,21.50,24.50,2021-09-02 11:00
,九江,17.52,,0.02,45600,--,20.00,23.25,2021-09-02 11:00
,三峡水库,158.87,,0.15,27500(出),--,--,--,2021-09-02 11:00
洞庭湖,城陵矶,30.39,,0.00,11400,--,33.00,34.55,2021-09-02 11:00
鄱阳湖,湖口,16.90,,0.02,1100,--,19.50,22.50,2021-09-02 11:00
湘江,湘潭,31.78,缺测,31.78,1130,--,38.00,39.50,2021-09-02 11:00
资水,桃江,33.54,,0.15,743,--,39.20,42.30,2021-09-02 11:00
沅水,桃源,33.91,,0.33,2920,--,42.50,45.40,2021-09-02 11:00
澧水,石门,51.24,,51.24,423,--,58.50,61.00,2021-09-02 11:00
松滋河,新江口,41.13,,-0.10,2470,43.00,44.00,45.77,2021-09-02 11:00
,沙道观,40.96,,-0.08,826,43.00,44.00,45.21,2021-09-02 11:00
藕池河,管家铺,35.59,,-0.08,1410,37.50,38.50,39.50,2021-09-02 11:00
,康家岗,35.36,,-0.09,43.4,37.50,38.50,39.87,2021-09-02 11:00
虎渡河,弥陀寺,39.10,,-0.11,766,42.00,43.00,44.15,2021-09-02 11:00
长湖,长湖,30.92,,-0.04,,31.50,32.50,33.50,2021-09-02 11:00
洪湖,挖沟咀,25.46,,-0.06,,25.80,26.20,27.00,2021-09-02 11:00
刁汊湖,五房台,24.12,,-0.03,,--,24.80,26.00,2021-09-02 11:00
斧头湖,三洲,21.98,,0.00,,21.50,22.80,23.94,2021-09-02 11:00
梁子湖,梁子镇,19.18,,-0.02,,19.00,20.50,21.36,2021-09-02 11:00
汉江,安康,240.96,,1.71,4950,--,--,--,2021-09-02 11:00
,白河,182.74,,3.76,10600,--,187.00,191.00,2021-09-02 11:00
,黄家港,93.28,,0.01,7360,--,--,--,2021-09-02 11:00
,襄阳,65.72,,-0.16,,65.50,67.00,70.00,2021-09-02 11:00
,宜城,57.19,,-0.85,,56.50,57.50,59.30,2021-09-02 11:00
,皇庄,48.25,,0.25,11500,47.00,48.00,50.62,2021-09-02 11:00
,沙洋,41.84,,0.56,,40.80,41.80,44.50,2021-09-02 11:00
,岳口,37.57,,0.57,,36.90,37.90,40.62,2021-09-02 11:00
,仙桃,34.77,,0.62,8050,34.10,35.10,36.20,2021-09-02 11:00
,汉川,29.77,,0.43,,28.00,29.00,31.69,2021-09-02 11:00
,丹江口水库,165.61,,0.40,"15600(入)
7780(出)",--,--,--,2021-09-02 11:00
清江,水布垭,396.25,,-0.53,"556(入)
1030(出)",--,--,--,2021-09-02 11:00
,隔河岩,195.86,,0.17,"1380(入)
1190(出)",--,--,--,2021-09-02 11:00
沮漳河,河溶,42.27,,0.15,190,47.50,48.50,50.00,2021-09-02 11:00
东荆河,潜江,38.95,,0.61,1910,38.40,39.70,42.11,2021-09-02 11:00
汉北河,天门,24.52,,-0.05,62.1,28.30,29.30,30.00,2021-09-02 11:00
大富水,应城,24.13,,0.00,44.2,27.50,29.00,33.00,2021-09-02 11:00
环水,花园,32.68,,-0.04,23.3,--,37.50,39.95,2021-09-02 11:00
,孝感,24.53,,-0.09,,26.50,27.50,31.00,2021-09-02 11:00
府河,隔蒲潭,24.90,,0.07,201,29.50,30.50,33.50,2021-09-02 11:00
府澴河,卧龙潭,24.08,,-0.03,,26.50,27.00,29.69,2021-09-02 11:00
富水,阳新,19.21,,0.02,,20.50,21.70,23.00,2021-09-02 11:00
滠水,黄陂,24.13,,0.02,,25.00,26.00,29.31,2021-09-02 11:00
倒水,李家集,24.33,,-0.39,,26.30,28.00,30.73,2021-09-02 11:00
举水,柳子港,23.54,,-0.02,71.8,28.00,29.00,33.11,2021-09-02 11:00
巴水,马家潭,21.57,,0.03,211,--,--,--,2021-09-02 11:00
蕲水,西河驿,20.14,,0.02,148,--,--,--,2021-09-02 11:00
