河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.07,,-1.07,22500,--,--,--,2021-09-02 05:00
,武隆,172.03,,1.23,1240,--,--,--,2021-09-02 05:00
,宜昌,47.86,,-0.19,29300,52.00,53.00,55.73,2021-09-02 05:00
,枝城,44.00,,-0.11,29500,48.00,49.00,51.75,2021-09-02 05:00
,沙市,39.29,,-0.12,25200,42.00,43.00,45.00,2021-09-02 05:00
,监利,33.41,,-0.08,23700,34.50,35.70,37.23,2021-09-02 05:00
,莲花塘,30.27,,-0.07,,--,32.50,34.40,2021-09-02 05:00
,螺山,29.35,,-0.05,35400,31.00,32.00,34.01,2021-09-02 05:00
,汉口,24.57,,0.00,43600,25.00,27.30,29.73,2021-09-02 05:00
,黄石,21.04,,0.02,,22.80,24.50,27.50,2021-09-02 05:00
,码头镇,18.65,,0.01,,20.50,21.50,24.50,2021-09-02 05:00
,九江,17.51,,0.02,45600,--,20.00,23.25,2021-09-02 05:00
,三峡水库,158.89,,0.36,27500(出),--,--,--,2021-09-02 05:00
洞庭湖,城陵矶,30.31,,-0.08,10300,--,33.00,34.55,2021-09-02 05:00
鄱阳湖,湖口,16.88,,0.04,1170,--,19.50,22.50,2021-09-02 05:00
湘江,湘潭,31.78,缺测,0.12,1060,--,38.00,39.50,2021-09-02 05:00
资水,桃江,33.62,,0.05,815,--,39.20,42.30,2021-09-02 05:00
沅水,桃源,33.72,,0.01,2720,--,42.50,45.40,2021-09-02 05:00
澧水,石门,50.74,,-0.47,170,--,58.50,61.00,2021-09-02 05:00
松滋河,新江口,41.13,,-0.11,2470,43.00,44.00,45.77,2021-09-02 05:00
,沙道观,40.95,,-0.12,827,43.00,44.00,45.21,2021-09-02 05:00
藕池河,管家铺,35.61,,-0.10,1410,37.50,38.50,39.50,2021-09-02 05:00
,康家岗,35.38,,-0.10,43.8,37.50,38.50,39.87,2021-09-02 05:00
虎渡河,弥陀寺,39.10,,-0.13,700,42.00,43.00,44.15,2021-09-02 05:00
长湖,长湖,30.93,,-0.04,,31.50,32.50,33.50,2021-09-02 05:00
洪湖,挖沟咀,25.46,,-0.07,,25.80,26.20,27.00,2021-09-02 05:00
刁汊湖,五房台,24.10,,-0.01,,--,24.80,26.00,2021-09-02 05:00
斧头湖,三洲,21.98,,-0.01,,21.50,22.80,23.94,2021-09-02 05:00
梁子湖,梁子镇,19.19,,-0.01,,19.00,20.50,21.36,2021-09-02 05:00
汉江,安康,241.66,,4.04,6030,--,--,--,2021-09-02 05:00
,白河,182.77,,3.47,10700,--,187.00,191.00,2021-09-02 05:00
,黄家港,93.27,,-0.01,7340,--,--,--,2021-09-02 05:00
,襄阳,65.75,,-0.24,,65.50,67.00,70.00,2021-09-02 05:00
,宜城,57.37,,-0.76,,56.50,57.50,59.30,2021-09-02 05:00
,皇庄,48.27,,0.48,11800,47.00,48.00,50.62,2021-09-02 05:00
,沙洋,41.79,,0.64,,40.80,41.80,44.50,2021-09-02 05:00
,岳口,37.54,,0.70,,36.90,37.90,40.62,2021-09-02 05:00
,仙桃,34.65,,0.63,7790,34.10,35.10,36.20,2021-09-02 05:00
,汉川,29.67,,0.35,,28.00,29.00,31.69,2021-09-02 05:00
,丹江口水库,165.43,,0.18,"15900(入)
7740(出)",--,--,--,2021-09-02 05:00
清江,水布垭,396.36,,-0.51,"407(入)
521(出)",--,--,--,2021-09-02 05:00
,隔河岩,195.82,,0.10,"564(入)
112(出)",--,--,--,2021-09-02 05:00
沮漳河,河溶,42.45,,0.59,196,47.50,48.50,50.00,2021-09-02 05:00
东荆河,潜江,38.86,,0.67,1560,38.40,39.70,42.11,2021-09-02 05:00
汉北河,天门,24.51,,-0.07,61.9,28.30,29.30,30.00,2021-09-02 05:00
大富水,应城,24.23,,0.06,45.6,27.50,29.00,33.00,2021-09-02 05:00
环水,花园,32.68,,-0.04,23.3,--,37.50,39.95,2021-09-02 05:00
,孝感,24.56,,-0.09,,26.50,27.50,31.00,2021-09-02 05:00
府河,隔蒲潭,24.82,,-0.02,191,29.50,30.50,33.50,2021-09-02 05:00
府澴河,卧龙潭,24.07,,-0.06,,26.50,27.00,29.69,2021-09-02 05:00
富水,阳新,19.21,,0.03,,20.50,21.70,23.00,2021-09-02 05:00
滠水,黄陂,24.13,,0.03,,25.00,26.00,29.31,2021-09-02 05:00
倒水,李家集,24.46,,-0.35,,26.30,28.00,30.73,2021-09-02 05:00
举水,柳子港,23.55,,-0.03,73.0,28.00,29.00,33.11,2021-09-02 05:00
巴水,马家潭,21.56,,0.02,209,--,--,--,2021-09-02 05:00
蕲水,西河驿,20.15,,0.03,150,--,--,--,2021-09-02 05:00
