河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.80,,-3.36,24100,--,--,--,2021-09-01 12:00
,武隆,174.59,,2.47,2150,--,--,--,2021-09-01 12:00
,宜昌,47.78,,-0.17,29000,52.00,53.00,55.73,2021-09-01 12:00
,枝城,44.06,,-0.20,29300,48.00,49.00,51.75,2021-09-01 12:00
,沙市,39.37,,-0.17,25400,42.00,43.00,45.00,2021-09-01 12:00
,监利,33.47,,-0.06,23900,34.50,35.70,37.23,2021-09-01 12:00
,莲花塘,30.33,,0.01,,--,32.50,34.40,2021-09-01 12:00
,螺山,29.41,,0.00,35500,31.00,32.00,34.01,2021-09-01 12:00
,汉口,24.57,,0.01,43600,25.00,27.30,29.73,2021-09-01 12:00
,黄石,21.02,,0.04,,22.80,24.50,27.50,2021-09-01 12:00
,码头镇,18.63,,0.00,,20.50,21.50,24.50,2021-09-01 12:00
,九江,17.51,,0.02,45600,--,20.00,23.25,2021-09-01 12:00
,三峡水库,158.74,,1.30,27500(出),--,--,--,2021-09-01 12:00
洞庭湖,城陵矶,30.38,,0.03,10600,--,33.00,34.55,2021-09-01 12:00
鄱阳湖,湖口,16.89,,0.06,1230,--,19.50,22.50,2021-09-01 12:00
湘江,湘潭,31.68,缺测,0.07,940,--,38.00,39.50,2021-09-01 12:00
资水,桃江,33.30,,0.42,664,--,39.20,42.30,2021-09-01 12:00
沅水,桃源,33.70,,0.00,2700,--,42.50,45.40,2021-09-01 12:00
澧水,石门,51.45,,-0.18,556,--,58.50,61.00,2021-09-01 12:00
松滋河,新江口,41.22,,-0.17,2520,43.00,44.00,45.77,2021-09-01 12:00
,沙道观,41.04,,-0.18,845,43.00,44.00,45.21,2021-09-01 12:00
藕池河,管家铺,35.67,,-0.08,1440,37.50,38.50,39.50,2021-09-01 12:00
,康家岗,35.45,,-0.08,45.4,37.50,38.50,39.87,2021-09-01 12:00
虎渡河,弥陀寺,39.20,,-0.16,719,42.00,43.00,44.15,2021-09-01 12:00
长湖,长湖,30.95,,-0.03,,31.50,32.50,33.50,2021-09-01 12:00
洪湖,挖沟咀,25.52,,-0.09,,25.80,26.20,27.00,2021-09-01 12:00
刁汊湖,五房台,24.16,,-0.04,,--,24.80,26.00,2021-09-01 12:00
斧头湖,三洲,21.98,,-0.01,,21.50,22.80,23.94,2021-09-01 12:00
梁子湖,梁子镇,19.20,,-0.02,,19.00,20.50,21.36,2021-09-01 12:00
汉江,安康,239.73,,1.23,3430,--,--,--,2021-09-01 12:00
,白河,179.50,,0.57,4450,--,187.00,191.00,2021-09-01 12:00
,黄家港,93.28,,-0.01,7370,--,--,--,2021-09-01 12:00
,襄阳,65.87,,-0.22,,65.50,67.00,70.00,2021-09-01 12:00
,宜城,58.03,,0.27,,56.50,57.50,59.30,2021-09-01 12:00
,皇庄,48.03,,0.87,11200,47.00,48.00,50.62,2021-09-01 12:00
,沙洋,41.30,,0.40,,40.80,41.80,44.50,2021-09-01 12:00
,岳口,37.03,,0.47,,36.90,37.90,40.62,2021-09-01 12:00
,仙桃,34.19,,0.31,7190,34.10,35.10,36.20,2021-09-01 12:00
,汉川,29.37,,0.13,,28.00,29.00,31.69,2021-09-01 12:00
,丹江口水库,165.21,,-0.12,"6010(入)
7700(出)",--,--,--,2021-09-01 12:00
清江,水布垭,396.75,,-0.38,"559(入)
1010(出)",--,--,--,2021-09-01 12:00
,隔河岩,195.69,,0.01,"903(入)
1190(出)",--,--,--,2021-09-01 12:00
沮漳河,河溶,42.18,,-0.01,187,47.50,48.50,50.00,2021-09-01 12:00
东荆河,潜江,38.36,,0.43,1320,38.40,39.70,42.11,2021-09-01 12:00
汉北河,天门,24.57,,-0.05,63.5,28.30,29.30,30.00,2021-09-01 12:00
大富水,应城,24.18,,-0.06,45.2,27.50,29.00,33.00,2021-09-01 12:00
环水,花园,32.71,,-0.05,25.1,--,37.50,39.95,2021-09-01 12:00
,孝感,24.65,,-0.04,,26.50,27.50,31.00,2021-09-01 12:00
府河,隔蒲潭,24.82,,-0.05,191,29.50,30.50,33.50,2021-09-01 12:00
府澴河,卧龙潭,24.10,,-0.03,,26.50,27.00,29.69,2021-09-01 12:00
富水,阳新,19.19,,0.04,,20.50,21.70,23.00,2021-09-01 12:00
滠水,黄陂,24.11,,0.00,,25.00,26.00,29.31,2021-09-01 12:00
倒水,李家集,24.72,,-0.32,,26.30,28.00,30.73,2021-09-01 12:00
举水,柳子港,23.56,,-0.08,74.3,28.00,29.00,33.11,2021-09-01 12:00
巴水,马家潭,21.56,,0.05,209,--,--,--,2021-09-01 12:00
蕲水,西河驿,20.12,,0.02,145,--,--,--,2021-09-01 12:00
