河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.17,,-0.63,23200,--,--,--,2021-09-02 12:00
,武隆,174.30,,-0.29,2040,--,--,--,2021-09-02 12:00
,宜昌,47.80,,0.02,29100,52.00,53.00,55.73,2021-09-02 12:00
,枝城,43.96,,-0.10,29100,48.00,49.00,51.75,2021-09-02 12:00
,沙市,39.28,,-0.09,25200,42.00,43.00,45.00,2021-09-02 12:00
,监利,33.39,,-0.08,23400,34.50,35.70,37.23,2021-09-02 12:00
,莲花塘,30.32,,-0.01,,--,32.50,34.40,2021-09-02 12:00
,螺山,29.36,,-0.05,35700,31.00,32.00,34.01,2021-09-02 12:00
,汉口,24.58,,0.01,43700,25.00,27.30,29.73,2021-09-02 12:00
,黄石,21.04,,0.02,,22.80,24.50,27.50,2021-09-02 12:00
,码头镇,18.66,,0.03,,20.50,21.50,24.50,2021-09-02 12:00
,九江,17.52,,0.01,45600,--,20.00,23.25,2021-09-02 12:00
,三峡水库,158.86,,0.12,27500(出),--,--,--,2021-09-02 12:00
洞庭湖,城陵矶,30.40,,0.02,11400,--,33.00,34.55,2021-09-02 12:00
鄱阳湖,湖口,16.90,,0.01,1000,--,19.50,22.50,2021-09-02 12:00
湘江,湘潭,31.78,缺测,0.10,1130,--,38.00,39.50,2021-09-02 12:00
资水,桃江,33.53,,0.23,739,--,39.20,42.30,2021-09-02 12:00
沅水,桃源,33.93,,0.23,2940,--,42.50,45.40,2021-09-02 12:00
澧水,石门,51.37,,-0.08,502,--,58.50,61.00,2021-09-02 12:00
松滋河,新江口,41.13,,-0.09,2470,43.00,44.00,45.77,2021-09-02 12:00
,沙道观,40.96,,-0.08,824,43.00,44.00,45.21,2021-09-02 12:00
藕池河,管家铺,35.59,,-0.08,1410,37.50,38.50,39.50,2021-09-02 12:00
,康家岗,35.36,,-0.09,43.4,37.50,38.50,39.87,2021-09-02 12:00
虎渡河,弥陀寺,39.09,,-0.11,723,42.00,43.00,44.15,2021-09-02 12:00
长湖,长湖,30.91,,-0.04,,31.50,32.50,33.50,2021-09-02 12:00
洪湖,挖沟咀,25.46,,-0.06,,25.80,26.20,27.00,2021-09-02 12:00
刁汊湖,五房台,24.12,,-0.04,,--,24.80,26.00,2021-09-02 12:00
斧头湖,三洲,21.98,,0.00,,21.50,22.80,23.94,2021-09-02 12:00
梁子湖,梁子镇,19.18,,-0.02,,19.00,20.50,21.36,2021-09-02 12:00
汉江,安康,240.94,,1.21,4930,--,--,--,2021-09-02 12:00
,白河,182.69,,3.19,10500,--,187.00,191.00,2021-09-02 12:00
,黄家港,93.29,,0.01,7390,--,--,--,2021-09-02 12:00
,襄阳,65.72,,-0.15,,65.50,67.00,70.00,2021-09-02 12:00
,宜城,57.17,,-0.86,,56.50,57.50,59.30,2021-09-02 12:00
,皇庄,48.23,,0.20,11500,47.00,48.00,50.62,2021-09-02 12:00
,沙洋,41.87,,0.57,,40.80,41.80,44.50,2021-09-02 12:00
,岳口,37.58,,0.55,,36.90,37.90,40.62,2021-09-02 12:00
,仙桃,34.79,,0.60,8070,34.10,35.10,36.20,2021-09-02 12:00
,汉川,29.78,,0.41,,28.00,29.00,31.69,2021-09-02 12:00
,丹江口水库,165.63,,0.42,"15100(入)
7770(出)",--,--,--,2021-09-02 12:00
清江,水布垭,396.21,,-0.53,"528(入)
1030(出)",--,--,--,2021-09-02 12:00
,隔河岩,195.84,,0.15,"1110(入)
1190(出)",--,--,--,2021-09-02 12:00
沮漳河,河溶,42.23,,0.05,189,47.50,48.50,50.00,2021-09-02 12:00
东荆河,潜江,38.99,,0.63,1930,38.40,39.70,42.11,2021-09-02 12:00
汉北河,天门,24.52,,-0.05,62.1,28.30,29.30,30.00,2021-09-02 12:00
大富水,应城,24.12,,-0.06,43.8,27.50,29.00,33.00,2021-09-02 12:00
环水,花园,32.68,,-0.03,23.3,--,37.50,39.95,2021-09-02 12:00
,孝感,24.53,,-0.12,,26.50,27.50,31.00,2021-09-02 12:00
府河,隔蒲潭,24.91,,0.09,202,29.50,30.50,33.50,2021-09-02 12:00
府澴河,卧龙潭,24.08,,-0.02,,26.50,27.00,29.69,2021-09-02 12:00
富水,阳新,19.20,,0.01,,20.50,21.70,23.00,2021-09-02 12:00
滠水,黄陂,24.13,,0.02,,25.00,26.00,29.31,2021-09-02 12:00
倒水,李家集,24.33,,-0.39,,26.30,28.00,30.73,2021-09-02 12:00
举水,柳子港,23.54,,-0.02,71.8,28.00,29.00,33.11,2021-09-02 12:00
巴水,马家潭,21.55,,-0.01,207,--,--,--,2021-09-02 12:00
蕲水,西河驿,20.14,,0.02,148,--,--,--,2021-09-02 12:00
