河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.21,,-0.44,23300,--,--,--,2021-09-02 15:00
,武隆,175.29,,-0.66,2390,--,--,--,2021-09-02 15:00
,宜昌,47.76,,-0.10,28900,52.00,53.00,55.73,2021-09-02 15:00
,枝城,43.98,,-0.05,29300,48.00,49.00,51.75,2021-09-02 15:00
,沙市,39.27,,-0.08,25100,42.00,43.00,45.00,2021-09-02 15:00
,监利,33.39,,-0.09,23500,34.50,35.70,37.23,2021-09-02 15:00
,莲花塘,30.26,,-0.05,,--,32.50,34.40,2021-09-02 15:00
,螺山,29.38,,-0.02,35300,31.00,32.00,34.01,2021-09-02 15:00
,汉口,24.58,,0.01,43700,25.00,27.30,29.73,2021-09-02 15:00
,黄石,21.06,,0.04,,22.80,24.50,27.50,2021-09-02 15:00
,码头镇,18.67,,0.01,,20.50,21.50,24.50,2021-09-02 15:00
,九江,17.55,,0.03,45800,--,20.00,23.25,2021-09-02 15:00
,三峡水库,158.85,,0.09,27200(出),--,--,--,2021-09-02 15:00
洞庭湖,城陵矶,30.33,,-0.05,11500,--,33.00,34.55,2021-09-02 15:00
鄱阳湖,湖口,16.92,,0.04,799,--,19.50,22.50,2021-09-02 15:00
湘江,湘潭,31.82,缺测,0.12,1180,--,38.00,39.50,2021-09-02 15:00
资水,桃江,33.02,,33.02,522,--,39.20,42.30,2021-09-02 15:00
沅水,桃源,33.76,,33.76,2750,--,42.50,45.40,2021-09-02 15:00
澧水,石门,51.41,,51.41,528,--,58.50,61.00,2021-09-02 15:00
松滋河,新江口,41.12,,-0.08,2470,43.00,44.00,45.77,2021-09-02 15:00
,沙道观,40.95,,-0.07,827,43.00,44.00,45.21,2021-09-02 15:00
藕池河,管家铺,35.58,,-0.08,1400,37.50,38.50,39.50,2021-09-02 15:00
,康家岗,35.35,,-0.09,43.1,37.50,38.50,39.87,2021-09-02 15:00
虎渡河,弥陀寺,39.08,,-0.10,732,42.00,43.00,44.15,2021-09-02 15:00
长湖,长湖,30.90,,-0.04,,31.50,32.50,33.50,2021-09-02 15:00
洪湖,挖沟咀,25.45,,-0.06,,25.80,26.20,27.00,2021-09-02 15:00
刁汊湖,五房台,24.14,,-0.04,,--,24.80,26.00,2021-09-02 15:00
斧头湖,三洲,21.98,,0.00,,21.50,22.80,23.94,2021-09-02 15:00
梁子湖,梁子镇,19.18,,-0.02,,19.00,20.50,21.36,2021-09-02 15:00
汉江,安康,240.29,,0.05,4140,--,--,--,2021-09-02 15:00
,白河,182.51,,1.83,10400,--,187.00,191.00,2021-09-02 15:00
,黄家港,93.30,,0.03,7420,--,--,--,2021-09-02 15:00
,襄阳,65.73,,-0.10,,65.50,67.00,70.00,2021-09-02 15:00
,宜城,57.09,,-0.83,,56.50,57.50,59.30,2021-09-02 15:00
,皇庄,48.22,,0.14,11500,47.00,48.00,50.62,2021-09-02 15:00
,沙洋,41.92,,0.54,,40.80,41.80,44.50,2021-09-02 15:00
,岳口,37.61,,0.53,,36.90,37.90,40.62,2021-09-02 15:00
,仙桃,34.83,,0.57,8100,34.10,35.10,36.20,2021-09-02 15:00
,汉川,29.83,,0.42,,28.00,29.00,31.69,2021-09-02 15:00
,丹江口水库,165.71,,0.52,"14700(入)
7790(出)",--,--,--,2021-09-02 15:00
清江,水布垭,396.13,,-0.51,"483(入)
1030(出)",--,--,--,2021-09-02 15:00
,隔河岩,195.83,,0.16,"1060(入)
1190(出)",--,--,--,2021-09-02 15:00
沮漳河,河溶,42.11,,-0.16,184,47.50,48.50,50.00,2021-09-02 15:00
东荆河,潜江,38.98,,0.54,1930,38.40,39.70,42.11,2021-09-02 15:00
汉北河,天门,24.51,,-0.05,61.9,28.30,29.30,30.00,2021-09-02 15:00
大富水,应城,24.11,,0.00,43.5,27.50,29.00,33.00,2021-09-02 15:00
环水,花园,32.67,,-0.04,22.7,--,37.50,39.95,2021-09-02 15:00
,孝感,24.51,,-0.09,,26.50,27.50,31.00,2021-09-02 15:00
府河,隔蒲潭,24.92,,0.12,204,29.50,30.50,33.50,2021-09-02 15:00
府澴河,卧龙潭,24.08,,-0.01,,26.50,27.00,29.69,2021-09-02 15:00
富水,阳新,19.22,,0.01,,20.50,21.70,23.00,2021-09-02 15:00
滠水,黄陂,24.14,,0.02,,25.00,26.00,29.31,2021-09-02 15:00
倒水,李家集,24.25,,-0.43,,26.30,28.00,30.73,2021-09-02 15:00
举水,柳子港,23.54,,-0.02,71.8,28.00,29.00,33.11,2021-09-02 15:00
巴水,马家潭,21.56,,0.02,209,--,--,--,2021-09-02 15:00
蕲水,西河驿,20.15,,0.01,150,--,--,--,2021-09-02 15:00
