河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.53,,-2.89,23500,--,--,--,2021-09-01 16:00
,武隆,176.08,,2.90,2650,--,--,--,2021-09-01 16:00
,宜昌,47.86,,-0.11,29300,52.00,53.00,55.73,2021-09-01 16:00
,枝城,44.03,,-0.15,29400,48.00,49.00,51.75,2021-09-01 16:00
,沙市,39.35,,-0.17,25400,42.00,43.00,45.00,2021-09-01 16:00
,监利,33.47,,-0.06,24000,34.50,35.70,37.23,2021-09-01 16:00
,莲花塘,30.28,,-0.04,,--,32.50,34.40,2021-09-01 16:00
,螺山,29.39,,-0.01,35500,31.00,32.00,34.01,2021-09-01 16:00
,汉口,24.58,,0.03,43700,25.00,27.30,29.73,2021-09-01 16:00
,黄石,21.03,,0.03,,22.80,24.50,27.50,2021-09-01 16:00
,码头镇,18.65,,0.02,,20.50,21.50,24.50,2021-09-01 16:00
,九江,17.52,,0.01,45600,--,20.00,23.25,2021-09-01 16:00
,三峡水库,158.79,,1.04,27500(出),--,--,--,2021-09-01 16:00
洞庭湖,城陵矶,30.35,,-0.02,10500,--,33.00,34.55,2021-09-01 16:00
鄱阳湖,湖口,16.88,,0.03,1280,--,19.50,22.50,2021-09-01 16:00
湘江,湘潭,31.71,缺测,0.11,976,--,38.00,39.50,2021-09-01 16:00
资水,桃江,32.91,,0.01,524,--,39.20,42.30,2021-09-01 16:00
沅水,桃源,33.73,,0.02,2730,--,42.50,45.40,2021-09-01 16:00
澧水,石门,51.48,,-0.16,576,--,58.50,61.00,2021-09-01 16:00
松滋河,新江口,41.19,,-0.18,2500,43.00,44.00,45.77,2021-09-01 16:00
,沙道观,41.00,,-0.18,838,43.00,44.00,45.21,2021-09-01 16:00
藕池河,管家铺,35.65,,-0.11,1450,37.50,38.50,39.50,2021-09-01 16:00
,康家岗,35.43,,-0.10,44.9,37.50,38.50,39.87,2021-09-01 16:00
虎渡河,弥陀寺,39.17,,-0.16,708,42.00,43.00,44.15,2021-09-01 16:00
长湖,长湖,30.95,,-0.03,,31.50,32.50,33.50,2021-09-01 16:00
洪湖,挖沟咀,25.51,,-0.08,,25.80,26.20,27.00,2021-09-01 16:00
刁汊湖,五房台,24.18,,-0.03,,--,24.80,26.00,2021-09-01 16:00
斧头湖,三洲,21.98,,-0.01,,21.50,22.80,23.94,2021-09-01 16:00
梁子湖,梁子镇,19.19,,-0.03,,19.00,20.50,21.36,2021-09-01 16:00
汉江,安康,240.39,,1.90,4250,--,--,--,2021-09-01 16:00
,白河,180.75,,1.24,6660,--,187.00,191.00,2021-09-01 16:00
,黄家港,93.27,,-0.05,7340,--,--,--,2021-09-01 16:00
,襄阳,65.83,,-0.28,,65.50,67.00,70.00,2021-09-01 16:00
,宜城,57.88,,-0.09,,56.50,57.50,59.30,2021-09-01 16:00
,皇庄,48.11,,0.80,11300,47.00,48.00,50.62,2021-09-01 16:00
,沙洋,41.42,,0.49,,40.80,41.80,44.50,2021-09-01 16:00
,岳口,37.12,,0.54,,36.90,37.90,40.62,2021-09-01 16:00
,仙桃,34.29,,0.40,7300,34.10,35.10,36.20,2021-09-01 16:00
,汉川,29.41,,0.20,,28.00,29.00,31.69,2021-09-01 16:00
,丹江口水库,165.18,,-0.15,"6430(入)
7710(出)",--,--,--,2021-09-01 16:00
清江,水布垭,396.63,,-0.39,"543(入)
1000(出)",--,--,--,2021-09-01 16:00
,隔河岩,195.69,,0.02,"1220(入)
1170(出)",--,--,--,2021-09-01 16:00
沮漳河,河溶,42.29,,0.22,191,47.50,48.50,50.00,2021-09-01 16:00
东荆河,潜江,38.46,,0.51,1340,38.40,39.70,42.11,2021-09-01 16:00
汉北河,天门,24.55,,-0.07,63.0,28.30,29.30,30.00,2021-09-01 16:00
大富水,应城,24.12,,-0.09,43.8,27.50,29.00,33.00,2021-09-01 16:00
环水,花园,32.71,,-0.04,25.1,--,37.50,39.95,2021-09-01 16:00
,孝感,24.56,,-0.10,,26.50,27.50,31.00,2021-09-01 16:00
府河,隔蒲潭,24.80,,-0.07,188,29.50,30.50,33.50,2021-09-01 16:00
府澴河,卧龙潭,24.08,,-0.05,,26.50,27.00,29.69,2021-09-01 16:00
富水,阳新,19.21,,0.03,,20.50,21.70,23.00,2021-09-01 16:00
滠水,黄陂,24.12,,0.00,,25.00,26.00,29.31,2021-09-01 16:00
倒水,李家集,24.66,,-0.34,,26.30,28.00,30.73,2021-09-01 16:00
举水,柳子港,23.56,,-0.07,74.3,28.00,29.00,33.11,2021-09-01 16:00
巴水,马家潭,21.56,,0.03,209,--,--,--,2021-09-01 16:00
蕲水,西河驿,20.14,,0.03,148,--,--,--,2021-09-01 16:00
