河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.46,,0.12,23900,--,--,--,2021-09-02 19:00
,武隆,175.86,,-0.25,2580,--,--,--,2021-09-02 19:00
,宜昌,47.75,,-0.09,28900,52.00,53.00,55.73,2021-09-02 19:00
,枝城,43.96,,-0.08,29100,48.00,49.00,51.75,2021-09-02 19:00
,沙市,39.26,,-0.07,25100,42.00,43.00,45.00,2021-09-02 19:00
,监利,33.40,,-0.06,23500,34.50,35.70,37.23,2021-09-02 19:00
,莲花塘,30.31,,-0.01,,--,32.50,34.40,2021-09-02 19:00
,螺山,29.38,,0.00,35700,31.00,32.00,34.01,2021-09-02 19:00
,汉口,24.60,,0.02,43800,25.00,27.30,29.73,2021-09-02 19:00
,黄石,21.07,,0.03,,22.80,24.50,27.50,2021-09-02 19:00
,码头镇,18.69,,0.02,,20.50,21.50,24.50,2021-09-02 19:00
,九江,17.55,,0.03,45800,--,20.00,23.25,2021-09-02 19:00
,三峡水库,158.82,,-0.01,27400(出),--,--,--,2021-09-02 19:00
洞庭湖,城陵矶,30.36,,-0.03,11500,--,33.00,34.55,2021-09-02 19:00
鄱阳湖,湖口,16.90,,0.03,797,--,19.50,22.50,2021-09-02 19:00
湘江,湘潭,31.86,缺测,31.86,1230,--,38.00,39.50,2021-09-02 19:00
资水,桃江,33.01,,-0.01,519,--,39.20,42.30,2021-09-02 19:00
沅水,桃源,33.63,,-0.04,2610,--,42.50,45.40,2021-09-02 19:00
澧水,石门,51.87,,0.22,849,--,58.50,61.00,2021-09-02 19:00
松滋河,新江口,41.10,,-0.07,2460,43.00,44.00,45.77,2021-09-02 19:00
,沙道观,40.93,,-0.06,823,43.00,44.00,45.21,2021-09-02 19:00
藕池河,管家铺,35.58,,-0.06,1400,37.50,38.50,39.50,2021-09-02 19:00
,康家岗,35.35,,-0.07,43.1,37.50,38.50,39.87,2021-09-02 19:00
虎渡河,弥陀寺,39.08,,-0.07,749,42.00,43.00,44.15,2021-09-02 19:00
长湖,长湖,30.90,,-0.04,,31.50,32.50,33.50,2021-09-02 19:00
洪湖,挖沟咀,25.49,,0.00,,25.80,26.20,27.00,2021-09-02 19:00
刁汊湖,五房台,24.12,,-0.03,,--,24.80,26.00,2021-09-02 19:00
斧头湖,三洲,21.97,,-0.01,,21.50,22.80,23.94,2021-09-02 19:00
梁子湖,梁子镇,19.17,,-0.04,,19.00,20.50,21.36,2021-09-02 19:00
汉江,安康,240.14,,-1.64,3950,--,--,--,2021-09-02 19:00
,白河,181.89,,-0.19,9100,--,187.00,191.00,2021-09-02 19:00
,黄家港,93.51,,0.23,8020,--,--,--,2021-09-02 19:00
,襄阳,65.74,,-0.09,,65.50,67.00,70.00,2021-09-02 19:00
,宜城,56.96,,-0.78,,56.50,57.50,59.30,2021-09-02 19:00
,皇庄,48.20,,0.03,11000,47.00,48.00,50.62,2021-09-02 19:00
,沙洋,41.91,,0.39,,40.80,41.80,44.50,2021-09-02 19:00
,岳口,37.71,,0.50,,36.90,37.90,40.62,2021-09-02 19:00
,仙桃,34.89,,0.52,8070,34.10,35.10,36.20,2021-09-02 19:00
,汉川,29.86,,0.40,,28.00,29.00,31.69,2021-09-02 19:00
,丹江口水库,165.79,,0.61,"13600(入)
8650(出)",--,--,--,2021-09-02 19:00
清江,水布垭,396.03,,-0.48,"501(入)
1030(出)",--,--,--,2021-09-02 19:00
,隔河岩,195.85,,0.16,"1310(入)
1190(出)",--,--,--,2021-09-02 19:00
沮漳河,河溶,41.99,,-0.32,180,47.50,48.50,50.00,2021-09-02 19:00
东荆河,潜江,39.06,,0.50,2070,38.40,39.70,42.11,2021-09-02 19:00
汉北河,天门,24.50,,-0.03,61.6,28.30,29.30,30.00,2021-09-02 19:00
大富水,应城,24.11,,0.01,43.5,27.50,29.00,33.00,2021-09-02 19:00
环水,花园,32.67,,-0.03,22.7,--,37.50,39.95,2021-09-02 19:00
,孝感,24.50,,-0.03,,26.50,27.50,31.00,2021-09-02 19:00
府河,隔蒲潭,24.92,,0.13,204,29.50,30.50,33.50,2021-09-02 19:00
府澴河,卧龙潭,24.08,,0.00,,26.50,27.00,29.69,2021-09-02 19:00
富水,阳新,19.23,,0.03,,20.50,21.70,23.00,2021-09-02 19:00
滠水,黄陂,24.15,,0.03,,25.00,26.00,29.31,2021-09-02 19:00
倒水,李家集,24.25,,-0.37,,26.30,28.00,30.73,2021-09-02 19:00
举水,柳子港,23.54,,-0.01,71.8,28.00,29.00,33.11,2021-09-02 19:00
巴水,马家潭,21.59,,0.06,214,--,--,--,2021-09-02 19:00
蕲水,西河驿,20.17,,0.02,154,--,--,--,2021-09-02 19:00
