河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.58,,0.32,24100,--,--,--,2021-09-02 20:00
,武隆,175.90,,-0.15,2590,--,--,--,2021-09-02 20:00
,宜昌,47.71,,-0.12,28800,52.00,53.00,55.73,2021-09-02 20:00
,枝城,43.95,,-0.08,29100,48.00,49.00,51.75,2021-09-02 20:00
,沙市,39.26,,-0.06,25000,42.00,43.00,45.00,2021-09-02 20:00
,监利,33.39,,-0.07,23500,34.50,35.70,37.23,2021-09-02 20:00
,莲花塘,30.33,,0.07,,--,32.50,34.40,2021-09-02 20:00
,螺山,29.37,,-0.02,35900,31.00,32.00,34.01,2021-09-02 20:00
,汉口,24.59,,0.01,43700,25.00,27.30,29.73,2021-09-02 20:00
,黄石,21.09,,0.05,,22.80,24.50,27.50,2021-09-02 20:00
,码头镇,18.70,,0.04,,20.50,21.50,24.50,2021-09-02 20:00
,九江,17.53,,0.01,45700,--,20.00,23.25,2021-09-02 20:00
,三峡水库,158.83,,0.00,"27000(入)
27400(出)",--,--,--,2021-09-02 20:00
洞庭湖,城陵矶,30.39,,0.06,11400,--,33.00,34.55,2021-09-02 20:00
鄱阳湖,湖口,16.90,,0.02,796,--,19.50,22.50,2021-09-02 20:00
湘江,湘潭,31.87,缺测,31.87,1240,--,38.00,39.50,2021-09-02 20:00
资水,桃江,33.28,,-0.10,624,--,39.20,42.30,2021-09-02 20:00
沅水,桃源,33.72,,0.05,2710,--,42.50,45.40,2021-09-02 20:00
澧水,石门,51.92,,0.25,884,--,58.50,61.00,2021-09-02 20:00
松滋河,新江口,41.10,,-0.07,2460,43.00,44.00,45.77,2021-09-02 20:00
,沙道观,40.92,,-0.07,822,43.00,44.00,45.21,2021-09-02 20:00
藕池河,管家铺,35.58,,-0.06,1400,37.50,38.50,39.50,2021-09-02 20:00
,康家岗,35.34,,-0.08,42.9,37.50,38.50,39.87,2021-09-02 20:00
虎渡河,弥陀寺,39.07,,-0.08,729,42.00,43.00,44.15,2021-09-02 20:00
长湖,长湖,30.90,,-0.07,,31.50,32.50,33.50,2021-09-02 20:00
洪湖,挖沟咀,25.49,,0.00,,25.80,26.20,27.00,2021-09-02 20:00
刁汊湖,五房台,24.12,,-0.02,,--,24.80,26.00,2021-09-02 20:00
斧头湖,三洲,21.97,,-0.01,,21.50,22.80,23.94,2021-09-02 20:00
梁子湖,梁子镇,19.18,,-0.01,,19.00,20.50,21.36,2021-09-02 20:00
汉江,安康,240.10,,-1.78,3900,--,--,--,2021-09-02 20:00
,白河,181.53,,-0.94,8420,--,187.00,191.00,2021-09-02 20:00
,黄家港,93.59,,0.32,8240,--,--,--,2021-09-02 20:00
,襄阳,65.75,,-0.07,,65.50,67.00,70.00,2021-09-02 20:00
,宜城,56.94,,-0.75,,56.50,57.50,59.30,2021-09-02 20:00
,皇庄,48.20,,0.01,11000,47.00,48.00,50.62,2021-09-02 20:00
,沙洋,41.93,,0.39,,40.80,41.80,44.50,2021-09-02 20:00
,岳口,37.75,,0.50,,36.90,37.90,40.62,2021-09-02 20:00
,仙桃,34.93,,0.57,8100,34.10,35.10,36.20,2021-09-02 20:00
,汉川,29.89,,0.45,,28.00,29.00,31.69,2021-09-02 20:00
,丹江口水库,165.82,,0.63,"14100(入)
8660(出)",--,--,--,2021-09-02 20:00
清江,水布垭,395.99,,-0.49,"633(入)
1030(出)",--,--,--,2021-09-02 20:00
,隔河岩,195.84,,0.15,"1230(入)
1190(出)",--,--,--,2021-09-02 20:00
沮漳河,河溶,41.97,,-0.34,179,47.50,48.50,50.00,2021-09-02 20:00
东荆河,潜江,39.09,,0.49,2100,38.40,39.70,42.11,2021-09-02 20:00
汉北河,天门,24.49,,-0.03,61.3,28.30,29.30,30.00,2021-09-02 20:00
大富水,应城,24.11,,0.01,43.5,27.50,29.00,33.00,2021-09-02 20:00
环水,花园,32.67,,-0.03,22.7,--,37.50,39.95,2021-09-02 20:00
,孝感,24.50,,-0.07,,26.50,27.50,31.00,2021-09-02 20:00
府河,隔蒲潭,24.91,,0.13,202,29.50,30.50,33.50,2021-09-02 20:00
府澴河,卧龙潭,24.08,,0.01,,26.50,27.00,29.69,2021-09-02 20:00
富水,阳新,19.25,,0.06,,20.50,21.70,23.00,2021-09-02 20:00
滠水,黄陂,24.15,,0.04,,25.00,26.00,29.31,2021-09-02 20:00
倒水,李家集,24.28,,-0.32,,26.30,28.00,30.73,2021-09-02 20:00
举水,柳子港,23.53,,-0.02,70.5,28.00,29.00,33.11,2021-09-02 20:00
巴水,马家潭,21.60,,0.05,216,--,--,--,2021-09-02 20:00
蕲水,西河驿,20.17,,0.02,154,--,--,--,2021-09-02 20:00
