河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.13,,-0.89,22600,--,--,--,2021-09-02 07:00
,武隆,171.00,,0.67,910,--,--,--,2021-09-02 07:00
,宜昌,47.85,,-0.12,29300,52.00,53.00,55.73,2021-09-02 07:00
,枝城,44.01,,-0.13,29500,48.00,49.00,51.75,2021-09-02 07:00
,沙市,39.29,,-0.09,25100,42.00,43.00,45.00,2021-09-02 07:00
,监利,33.40,,-0.08,23600,34.50,35.70,37.23,2021-09-02 07:00
,莲花塘,30.30,,-0.01,,--,32.50,34.40,2021-09-02 07:00
,螺山,29.36,,-0.05,35400,31.00,32.00,34.01,2021-09-02 07:00
,汉口,24.57,,0.00,43600,25.00,27.30,29.73,2021-09-02 07:00
,黄石,21.03,,0.02,,22.80,24.50,27.50,2021-09-02 07:00
,码头镇,18.63,,0.01,,20.50,21.50,24.50,2021-09-02 07:00
,九江,17.52,,0.02,45600,--,20.00,23.25,2021-09-02 07:00
,三峡水库,158.88,,0.27,27400(出),--,--,--,2021-09-02 07:00
洞庭湖,城陵矶,30.36,,0.00,10500,--,33.00,34.55,2021-09-02 07:00
鄱阳湖,湖口,16.89,,0.05,1150,--,19.50,22.50,2021-09-02 07:00
湘江,湘潭,31.78,缺测,0.11,1060,--,38.00,39.50,2021-09-02 07:00
资水,桃江,33.39,,-0.46,706,--,39.20,42.30,2021-09-02 07:00
沅水,桃源,33.74,,0.01,2750,--,42.50,45.40,2021-09-02 07:00
澧水,石门,50.76,,-0.45,177,--,58.50,61.00,2021-09-02 07:00
松滋河,新江口,41.12,,-0.12,2480,43.00,44.00,45.77,2021-09-02 07:00
,沙道观,40.94,,-0.11,830,43.00,44.00,45.21,2021-09-02 07:00
藕池河,管家铺,35.61,,-0.08,1410,37.50,38.50,39.50,2021-09-02 07:00
,康家岗,35.37,,-0.09,43.6,37.50,38.50,39.87,2021-09-02 07:00
虎渡河,弥陀寺,39.09,,-0.13,684,42.00,43.00,44.15,2021-09-02 07:00
长湖,长湖,30.93,,-0.02,,31.50,32.50,33.50,2021-09-02 07:00
洪湖,挖沟咀,25.47,,-0.06,,25.80,26.20,27.00,2021-09-02 07:00
刁汊湖,五房台,24.10,,-0.02,,--,24.80,26.00,2021-09-02 07:00
斧头湖,三洲,21.98,,0.00,,21.50,22.80,23.94,2021-09-02 07:00
梁子湖,梁子镇,19.18,,-0.02,,19.00,20.50,21.36,2021-09-02 07:00
汉江,安康,241.57,,3.97,5890,--,--,--,2021-09-02 07:00
,白河,182.87,,3.63,10900,--,187.00,191.00,2021-09-02 07:00
,黄家港,93.29,,0.00,7390,--,--,--,2021-09-02 07:00
,襄阳,65.75,,-0.20,,65.50,67.00,70.00,2021-09-02 07:00
,宜城,57.31,,-0.80,,56.50,57.50,59.30,2021-09-02 07:00
,皇庄,48.26,,0.41,11800,47.00,48.00,50.62,2021-09-02 07:00
,沙洋,41.84,,0.65,,40.80,41.80,44.50,2021-09-02 07:00
,岳口,37.57,,0.67,,36.90,37.90,40.62,2021-09-02 07:00
,仙桃,34.73,,0.64,7830,34.10,35.10,36.20,2021-09-02 07:00
,汉川,29.67,,0.36,,28.00,29.00,31.69,2021-09-02 07:00
,丹江口水库,165.48,,0.24,"15500(入)
7750(出)",--,--,--,2021-09-02 07:00
清江,水布垭,396.36,,-0.50,"445(入)
521(出)",--,--,--,2021-09-02 07:00
,隔河岩,195.86,,0.13,"617(入)
127(出)",--,--,--,2021-09-02 07:00
沮漳河,河溶,42.43,,0.57,196,47.50,48.50,50.00,2021-09-02 07:00
东荆河,潜江,38.90,,0.66,1570,38.40,39.70,42.11,2021-09-02 07:00
汉北河,天门,24.52,,-0.06,62.1,28.30,29.30,30.00,2021-09-02 07:00
大富水,应城,24.20,,0.04,45.5,27.50,29.00,33.00,2021-09-02 07:00
环水,花园,32.68,,-0.04,23.3,--,37.50,39.95,2021-09-02 07:00
,孝感,24.49,,-0.17,,26.50,27.50,31.00,2021-09-02 07:00
府河,隔蒲潭,24.85,,0.01,195,29.50,30.50,33.50,2021-09-02 07:00
府澴河,卧龙潭,24.07,,-0.06,,26.50,27.00,29.69,2021-09-02 07:00
富水,阳新,19.20,,0.02,,20.50,21.70,23.00,2021-09-02 07:00
滠水,黄陂,24.12,,0.02,,25.00,26.00,29.31,2021-09-02 07:00
倒水,李家集,24.41,,-0.37,,26.30,28.00,30.73,2021-09-02 07:00
举水,柳子港,23.55,,-0.02,73.0,28.00,29.00,33.11,2021-09-02 07:00
巴水,马家潭,21.57,,0.04,211,--,--,--,2021-09-02 07:00
蕲水,西河驿,20.14,,0.02,148,--,--,--,2021-09-02 07:00
