河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,173.37,,1.72,29200,--,--,--,2021-09-03 21:00
,武隆,175.81,,-0.13,2560,--,--,--,2021-09-03 21:00
,宜昌,47.54,,-0.16,28100,52.00,53.00,55.73,2021-09-03 21:00
,枝城,43.86,,-0.08,28500,48.00,49.00,51.75,2021-09-03 21:00
,沙市,39.21,,-0.05,24700,42.00,43.00,45.00,2021-09-03 21:00
,监利,33.38,,-0.01,23200,34.50,35.70,37.23,2021-09-03 21:00
,莲花塘,30.28,,-0.03,,--,32.50,34.40,2021-09-03 21:00
,螺山,29.37,,-0.01,35400,31.00,32.00,34.01,2021-09-03 21:00
,汉口,24.65,,0.05,44100,25.00,27.30,29.73,2021-09-03 21:00
,黄石,21.15,,0.05,,22.80,24.50,27.50,2021-09-03 21:00
,码头镇,18.73,,0.05,,20.50,21.50,24.50,2021-09-03 21:00
,九江,17.61,,0.08,46100,--,20.00,23.25,2021-09-03 21:00
,三峡水库,159.06,,0.25,26500(出),--,--,--,2021-09-03 21:00
洞庭湖,城陵矶,30.31,,-0.05,11600,--,33.00,34.55,2021-09-03 21:00
鄱阳湖,湖口,16.98,,0.11,1500,--,19.50,22.50,2021-09-03 21:00
湘江,湘潭,,缺测,-31.87,,--,38.00,39.50,2021-09-03 21:00
资水,桃江,33.55,,0.07,748,--,39.20,42.30,2021-09-03 21:00
沅水,桃源,33.68,,-0.05,2670,--,42.50,45.40,2021-09-03 21:00
澧水,石门,51.67,,-0.26,709,--,58.50,61.00,2021-09-03 21:00
松滋河,新江口,41.05,,-0.04,2430,43.00,44.00,45.77,2021-09-03 21:00
,沙道观,40.89,,-0.03,808,43.00,44.00,45.21,2021-09-03 21:00
藕池河,管家铺,35.53,,-0.05,1400,37.50,38.50,39.50,2021-09-03 21:00
,康家岗,35.30,,-0.04,42.0,37.50,38.50,39.87,2021-09-03 21:00
虎渡河,弥陀寺,39.03,,-0.04,701,42.00,43.00,44.15,2021-09-03 21:00
长湖,长湖,30.88,,-0.02,,31.50,32.50,33.50,2021-09-03 21:00
洪湖,挖沟咀,25.44,,-0.05,,25.80,26.20,27.00,2021-09-03 21:00
刁汊湖,五房台,24.12,,0.01,,--,24.80,26.00,2021-09-03 21:00
斧头湖,三洲,21.92,,-0.05,,21.50,22.80,23.94,2021-09-03 21:00
梁子湖,梁子镇,19.17,,0.00,,19.00,20.50,21.36,2021-09-03 21:00
汉江,安康,239.15,,-0.96,2820,--,--,--,2021-09-03 21:00
,白河,179.84,,-1.17,4780,--,187.00,191.00,2021-09-03 21:00
,黄家港,93.64,,0.02,8380,--,--,--,2021-09-03 21:00
,襄阳,65.89,,0.15,,65.50,67.00,70.00,2021-09-03 21:00
,宜城,56.89,,-0.02,,56.50,57.50,59.30,2021-09-03 21:00
,皇庄,47.85,,-0.32,9970,47.00,48.00,50.62,2021-09-03 21:00
,沙洋,41.93,,0.01,,40.80,41.80,44.50,2021-09-03 21:00
,岳口,,缺测,-37.79,,36.90,37.90,40.62,2021-09-03 21:00
,仙桃,35.27,,0.31,8430,34.10,35.10,36.20,2021-09-03 21:00
,汉川,30.16,,0.30,,28.00,29.00,31.69,2021-09-03 21:00
,丹江口水库,165.87,,0.04,"7840(入)
8700(出)",--,--,--,2021-09-03 21:00
清江,水布垭,395.44,,-0.52,"713(入)
1040(出)",--,--,--,2021-09-03 21:00
,隔河岩,195.98,,0.14,"713(入)
935(出)",--,--,--,2021-09-03 21:00
沮漳河,河溶,41.56,,-0.39,131,47.50,48.50,50.00,2021-09-03 21:00
东荆河,潜江,39.36,,0.24,2100,38.40,39.70,42.11,2021-09-03 21:00
汉北河,天门,24.50,,0.01,61.6,28.30,29.30,30.00,2021-09-03 21:00
大富水,应城,24.16,,0.04,44.9,27.50,29.00,33.00,2021-09-03 21:00
环水,花园,32.63,,-0.03,20.5,--,37.50,39.95,2021-09-03 21:00
,孝感,24.54,,0.02,,26.50,27.50,31.00,2021-09-03 21:00
府河,隔蒲潭,24.57,,-0.34,159,29.50,30.50,33.50,2021-09-03 21:00
府澴河,卧龙潭,24.09,,0.01,,26.50,27.00,29.69,2021-09-03 21:00
富水,阳新,19.30,,0.05,,20.50,21.70,23.00,2021-09-03 21:00
滠水,黄陂,24.20,,0.06,,25.00,26.00,29.31,2021-09-03 21:00
倒水,李家集,24.49,,0.18,,26.30,28.00,30.73,2021-09-03 21:00
举水,柳子港,23.55,,0.02,73.0,28.00,29.00,33.11,2021-09-03 21:00
巴水,马家潭,21.66,,0.05,227,--,--,--,2021-09-03 21:00
蕲水,西河驿,20.24,,0.02,167,--,--,--,2021-09-03 21:00
