河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.21,,-0.68,23100,--,--,--,2021-09-02 09:00
,武隆,171.55,,-0.17,1090,--,--,--,2021-09-02 09:00
,宜昌,47.72,,-0.15,28800,52.00,53.00,55.73,2021-09-02 09:00
,枝城,44.01,,-0.10,29400,48.00,49.00,51.75,2021-09-02 09:00
,沙市,39.28,,-0.12,25200,42.00,43.00,45.00,2021-09-02 09:00
,监利,33.39,,-0.09,23500,34.50,35.70,37.23,2021-09-02 09:00
,莲花塘,30.31,,-0.01,,--,32.50,34.40,2021-09-02 09:00
,螺山,29.34,,-0.06,35900,31.00,32.00,34.01,2021-09-02 09:00
,汉口,24.59,,0.03,43700,25.00,27.30,29.73,2021-09-02 09:00
,黄石,21.04,,0.03,,22.80,24.50,27.50,2021-09-02 09:00
,码头镇,18.68,,0.07,,20.50,21.50,24.50,2021-09-02 09:00
,九江,17.51,,0.01,45600,--,20.00,23.25,2021-09-02 09:00
,三峡水库,158.88,,0.19,27400(出),--,--,--,2021-09-02 09:00
洞庭湖,城陵矶,30.37,,-0.01,10500,--,33.00,34.55,2021-09-02 09:00
鄱阳湖,湖口,16.90,,0.04,1170,--,19.50,22.50,2021-09-02 09:00
湘江,湘潭,31.78,缺测,0.10,1130,--,38.00,39.50,2021-09-02 09:00
资水,桃江,33.48,,-0.20,715,--,39.20,42.30,2021-09-02 09:00
沅水,桃源,33.74,,-0.04,2730,--,42.50,45.40,2021-09-02 09:00
澧水,石门,50.74,,-0.45,169,--,58.50,61.00,2021-09-02 09:00
松滋河,新江口,41.13,,-0.10,2480,43.00,44.00,45.77,2021-09-02 09:00
,沙道观,40.96,,-0.09,831,43.00,44.00,45.21,2021-09-02 09:00
藕池河,管家铺,35.60,,-0.08,1400,37.50,38.50,39.50,2021-09-02 09:00
,康家岗,35.37,,-0.08,43.6,37.50,38.50,39.87,2021-09-02 09:00
虎渡河,弥陀寺,39.10,,-0.11,705,42.00,43.00,44.15,2021-09-02 09:00
长湖,长湖,30.91,,-0.04,,31.50,32.50,33.50,2021-09-02 09:00
洪湖,挖沟咀,25.46,,-0.07,,25.80,26.20,27.00,2021-09-02 09:00
刁汊湖,五房台,24.10,,-0.04,,--,24.80,26.00,2021-09-02 09:00
斧头湖,三洲,21.98,,-0.01,,21.50,22.80,23.94,2021-09-02 09:00
梁子湖,梁子镇,19.19,,-0.01,,19.00,20.50,21.36,2021-09-02 09:00
汉江,安康,241.16,,2.84,5260,--,--,--,2021-09-02 09:00
,白河,182.85,,3.93,10800,--,187.00,191.00,2021-09-02 09:00
,黄家港,93.29,,0.02,7390,--,--,--,2021-09-02 09:00
,襄阳,65.73,,-0.19,,65.50,67.00,70.00,2021-09-02 09:00
,宜城,57.25,,-0.84,,56.50,57.50,59.30,2021-09-02 09:00
,皇庄,48.26,,0.36,11600,47.00,48.00,50.62,2021-09-02 09:00
,沙洋,41.85,,0.63,,40.80,41.80,44.50,2021-09-02 09:00
,岳口,37.55,,0.58,,36.90,37.90,40.62,2021-09-02 09:00
,仙桃,34.76,,34.76,7840,34.10,35.10,36.20,2021-09-02 09:00
,汉川,29.76,,0.46,,28.00,29.00,31.69,2021-09-02 09:00
,丹江口水库,165.55,,0.33,"16000(入)
7680(出)",--,--,--,2021-09-02 09:00
清江,水布垭,396.30,,-0.52,"330(入)
1010(出)",--,--,--,2021-09-02 09:00
,隔河岩,195.86,,0.16,"541(入)
1150(出)",--,--,--,2021-09-02 09:00
沮漳河,河溶,42.35,,0.41,193,47.50,48.50,50.00,2021-09-02 09:00
东荆河,潜江,38.90,,0.61,1570,38.40,39.70,42.11,2021-09-02 09:00
汉北河,天门,24.52,,-0.05,62.1,28.30,29.30,30.00,2021-09-02 09:00
大富水,应城,24.15,,0.00,44.7,27.50,29.00,33.00,2021-09-02 09:00
环水,花园,32.68,,-0.04,23.3,--,37.50,39.95,2021-09-02 09:00
,孝感,24.49,,-0.17,,26.50,27.50,31.00,2021-09-02 09:00
府河,隔蒲潭,24.88,,0.04,199,29.50,30.50,33.50,2021-09-02 09:00
府澴河,卧龙潭,24.08,,-0.04,,26.50,27.00,29.69,2021-09-02 09:00
富水,阳新,19.21,,0.03,,20.50,21.70,23.00,2021-09-02 09:00
滠水,黄陂,24.13,,0.03,,25.00,26.00,29.31,2021-09-02 09:00
倒水,李家集,24.37,,-0.40,,26.30,28.00,30.73,2021-09-02 09:00
举水,柳子港,23.54,,-0.03,71.8,28.00,29.00,33.11,2021-09-02 09:00
巴水,马家潭,21.56,,0.05,209,--,--,--,2021-09-02 09:00
蕲水,西河驿,20.14,,0.01,148,--,--,--,2021-09-02 09:00
