河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,172.58,,1.52,27200,--,--,--,2021-09-03 03:00
,武隆,174.92,,1.30,2270,--,--,--,2021-09-03 03:00
,宜昌,47.80,,-0.03,29100,52.00,53.00,55.73,2021-09-03 03:00
,枝城,43.97,,-0.02,29400,48.00,49.00,51.75,2021-09-03 03:00
,沙市,39.24,,-0.06,25100,42.00,43.00,45.00,2021-09-03 03:00
,监利,33.38,,-0.05,23500,34.50,35.70,37.23,2021-09-03 03:00
,莲花塘,30.30,,0.03,,--,32.50,34.40,2021-09-03 03:00
,螺山,29.35,,-0.01,36000,31.00,32.00,34.01,2021-09-03 03:00
,汉口,24.61,,0.03,43800,25.00,27.30,29.73,2021-09-03 03:00
,黄石,21.10,,0.06,,22.80,24.50,27.50,2021-09-03 03:00
,码头镇,18.70,,0.03,,20.50,21.50,24.50,2021-09-03 03:00
,九江,17.56,,0.04,45800,--,20.00,23.25,2021-09-03 03:00
,三峡水库,158.79,,-0.08,27500(出),--,--,--,2021-09-03 03:00
洞庭湖,城陵矶,30.36,,0.03,11500,--,33.00,34.55,2021-09-03 03:00
鄱阳湖,湖口,16.93,,0.06,792,--,19.50,22.50,2021-09-03 03:00
湘江,湘潭,31.85,缺测,0.10,1220,--,38.00,39.50,2021-09-03 03:00
资水,桃江,33.94,,0.19,957,--,39.20,42.30,2021-09-03 03:00
沅水,桃源,33.65,,-0.04,2630,--,42.50,45.40,2021-09-03 03:00
澧水,石门,50.84,,0.07,208,--,58.50,61.00,2021-09-03 03:00
松滋河,新江口,41.08,,-0.06,2450,43.00,44.00,45.77,2021-09-03 03:00
,沙道观,40.90,,-0.06,821,43.00,44.00,45.21,2021-09-03 03:00
藕池河,管家铺,35.57,,-0.05,1400,37.50,38.50,39.50,2021-09-03 03:00
,康家岗,35.33,,-0.06,42.7,37.50,38.50,39.87,2021-09-03 03:00
虎渡河,弥陀寺,39.05,,-0.07,751,42.00,43.00,44.15,2021-09-03 03:00
长湖,长湖,30.90,,-0.03,,31.50,32.50,33.50,2021-09-03 03:00
洪湖,挖沟咀,25.48,,0.00,,25.80,26.20,27.00,2021-09-03 03:00
刁汊湖,五房台,24.12,,0.02,,--,24.80,26.00,2021-09-03 03:00
斧头湖,三洲,21.96,,-0.02,,21.50,22.80,23.94,2021-09-03 03:00
梁子湖,梁子镇,19.17,,-0.02,,19.00,20.50,21.36,2021-09-03 03:00
汉江,安康,239.37,,-2.36,3040,--,--,--,2021-09-03 03:00
,白河,180.64,,-1.97,6800,--,187.00,191.00,2021-09-03 03:00
,黄家港,93.69,,0.43,8530,--,--,--,2021-09-03 03:00
,襄阳,65.73,,-0.03,,65.50,67.00,70.00,2021-09-03 03:00
,宜城,56.82,,-0.61,,56.50,57.50,59.30,2021-09-03 03:00
,皇庄,48.08,,-0.17,10800,47.00,48.00,50.62,2021-09-03 03:00
,沙洋,41.97,,0.22,,40.80,41.80,44.50,2021-09-03 03:00
,岳口,37.93,,0.46,,36.90,37.90,40.62,2021-09-03 03:00
,仙桃,35.09,,0.49,8220,34.10,35.10,36.20,2021-09-03 03:00
,汉川,30.00,,0.41,,28.00,29.00,31.69,2021-09-03 03:00
,丹江口水库,165.89,,0.53,"11300(入)
8680(出)",--,--,--,2021-09-03 03:00
清江,水布垭,395.90,,-0.47,"623(入)
577(出)",--,--,--,2021-09-03 03:00
,隔河岩,195.85,,0.08,"640(入)
639(出)",--,--,--,2021-09-03 03:00
沮漳河,河溶,41.74,,-0.67,148,47.50,48.50,50.00,2021-09-03 03:00
东荆河,潜江,39.23,,0.42,2180,38.40,39.70,42.11,2021-09-03 03:00
汉北河,天门,24.53,,0.02,62.4,28.30,29.30,30.00,2021-09-03 03:00
大富水,应城,24.13,,-0.08,44.2,27.50,29.00,33.00,2021-09-03 03:00
环水,花园,32.66,,-0.03,22.1,--,37.50,39.95,2021-09-03 03:00
,孝感,24.53,,0.04,,26.50,27.50,31.00,2021-09-03 03:00
府河,隔蒲潭,24.87,,0.07,197,29.50,30.50,33.50,2021-09-03 03:00
府澴河,卧龙潭,24.10,,0.03,,26.50,27.00,29.69,2021-09-03 03:00
富水,阳新,19.24,,0.03,,20.50,21.70,23.00,2021-09-03 03:00
滠水,黄陂,24.18,,0.06,,25.00,26.00,29.31,2021-09-03 03:00
倒水,李家集,24.37,,-0.12,,26.30,28.00,30.73,2021-09-03 03:00
举水,柳子港,23.53,,-0.02,70.5,28.00,29.00,33.11,2021-09-03 03:00
巴水,马家潭,21.63,,0.07,222,--,--,--,2021-09-03 03:00
蕲水,西河驿,20.18,,0.03,156,--,--,--,2021-09-03 03:00
