河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,173.43,,1.97,29400,--,--,--,2021-09-03 19:00
,武隆,175.95,,0.09,2600,--,--,--,2021-09-03 19:00
,宜昌,47.59,,-0.16,28300,52.00,53.00,55.73,2021-09-03 19:00
,枝城,43.89,,-0.07,28700,48.00,49.00,51.75,2021-09-03 19:00
,沙市,39.23,,-0.03,25000,42.00,43.00,45.00,2021-09-03 19:00
,监利,33.37,,-0.03,23300,34.50,35.70,37.23,2021-09-03 19:00
,莲花塘,30.31,,0.00,,--,32.50,34.40,2021-09-03 19:00
,螺山,29.35,,-0.03,35800,31.00,32.00,34.01,2021-09-03 19:00
,汉口,24.65,,0.05,44100,25.00,27.30,29.73,2021-09-03 19:00
,黄石,21.14,,0.07,,22.80,24.50,27.50,2021-09-03 19:00
,码头镇,18.73,,0.04,,20.50,21.50,24.50,2021-09-03 19:00
,九江,17.62,,0.07,46000,--,20.00,23.25,2021-09-03 19:00
,三峡水库,158.98,,0.15,26600(出),--,--,--,2021-09-03 19:00
洞庭湖,城陵矶,30.39,,0.03,11400,--,33.00,34.55,2021-09-03 19:00
鄱阳湖,湖口,16.99,,0.09,1490,--,19.50,22.50,2021-09-03 19:00
湘江,湘潭,31.77,缺测,-0.09,1140,--,38.00,39.50,2021-09-03 19:00
资水,桃江,33.18,,0.17,582,--,39.20,42.30,2021-09-03 19:00
沅水,桃源,33.69,,0.06,2680,--,42.50,45.40,2021-09-03 19:00
澧水,石门,51.63,,-0.24,681,--,58.50,61.00,2021-09-03 19:00
松滋河,新江口,41.06,,-0.04,2440,43.00,44.00,45.77,2021-09-03 19:00
,沙道观,40.89,,-0.04,812,43.00,44.00,45.21,2021-09-03 19:00
藕池河,管家铺,35.53,,-0.05,1400,37.50,38.50,39.50,2021-09-03 19:00
,康家岗,35.30,,-0.05,42.0,37.50,38.50,39.87,2021-09-03 19:00
虎渡河,弥陀寺,39.04,,-0.04,725,42.00,43.00,44.15,2021-09-03 19:00
长湖,长湖,30.88,,-0.02,,31.50,32.50,33.50,2021-09-03 19:00
洪湖,挖沟咀,25.45,,-0.04,,25.80,26.20,27.00,2021-09-03 19:00
刁汊湖,五房台,24.16,,0.04,,--,24.80,26.00,2021-09-03 19:00
斧头湖,三洲,21.92,,-0.05,,21.50,22.80,23.94,2021-09-03 19:00
梁子湖,梁子镇,19.18,,0.01,,19.00,20.50,21.36,2021-09-03 19:00
汉江,安康,239.18,,-0.96,2850,--,--,--,2021-09-03 19:00
,白河,179.87,,-2.02,4750,--,187.00,191.00,2021-09-03 19:00
,黄家港,93.66,,0.15,8440,--,--,--,2021-09-03 19:00
,襄阳,65.88,,0.14,,65.50,67.00,70.00,2021-09-03 19:00
,宜城,56.87,,-0.09,,56.50,57.50,59.30,2021-09-03 19:00
,皇庄,47.85,,-0.35,9970,47.00,48.00,50.62,2021-09-03 19:00
,沙洋,41.93,,0.02,,40.80,41.80,44.50,2021-09-03 19:00
,岳口,38.04,,0.33,,36.90,37.90,40.62,2021-09-03 19:00
,仙桃,35.27,,0.38,8430,34.10,35.10,36.20,2021-09-03 19:00
,汉川,30.16,,0.30,,28.00,29.00,31.69,2021-09-03 19:00
,丹江口水库,165.86,,0.07,"6950(入)
8710(出)",--,--,--,2021-09-03 19:00
清江,水布垭,395.49,,-0.54,"150(入)
966(出)",--,--,--,2021-09-03 19:00
,隔河岩,195.96,,0.11,"150(入)
935(出)",--,--,--,2021-09-03 19:00
沮漳河,河溶,41.58,,-0.41,132,47.50,48.50,50.00,2021-09-03 19:00
东荆河,潜江,39.36,,0.30,2100,38.40,39.70,42.11,2021-09-03 19:00
汉北河,天门,24.51,,0.01,61.9,28.30,29.30,30.00,2021-09-03 19:00
大富水,应城,24.12,,0.01,43.8,27.50,29.00,33.00,2021-09-03 19:00
环水,花园,32.63,,-0.04,20.5,--,37.50,39.95,2021-09-03 19:00
,孝感,24.54,,0.04,,26.50,27.50,31.00,2021-09-03 19:00
府河,隔蒲潭,24.63,,-0.29,167,29.50,30.50,33.50,2021-09-03 19:00
府澴河,卧龙潭,24.09,,0.01,,26.50,27.00,29.69,2021-09-03 19:00
富水,阳新,19.29,,0.06,,20.50,21.70,23.00,2021-09-03 19:00
滠水,黄陂,24.19,,0.04,,25.00,26.00,29.31,2021-09-03 19:00
倒水,李家集,24.44,,0.19,,26.30,28.00,30.73,2021-09-03 19:00
举水,柳子港,23.54,,0.00,71.8,28.00,29.00,33.11,2021-09-03 19:00
巴水,马家潭,21.65,,0.06,225,--,--,--,2021-09-03 19:00
蕲水,西河驿,20.23,,0.06,166,--,--,--,2021-09-03 19:00
