河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,173.54,,2.33,30200,--,--,--,2021-09-03 10:00
,武隆,172.12,,-0.20,1270,--,--,--,2021-09-03 10:00
,宜昌,47.65,,-0.03,28500,52.00,53.00,55.73,2021-09-03 10:00
,枝城,43.94,,-0.04,29000,48.00,49.00,51.75,2021-09-03 10:00
,沙市,39.25,,-0.04,25100,42.00,43.00,45.00,2021-09-03 10:00
,监利,33.38,,-0.02,23200,34.50,35.70,37.23,2021-09-03 10:00
,莲花塘,30.33,,0.04,,--,32.50,34.40,2021-09-03 10:00
,螺山,29.37,,0.02,35600,31.00,32.00,34.01,2021-09-03 10:00
,汉口,24.61,,0.03,43800,25.00,27.30,29.73,2021-09-03 10:00
,黄石,21.10,,0.06,,22.80,24.50,27.50,2021-09-03 10:00
,码头镇,18.69,,0.04,,20.50,21.50,24.50,2021-09-03 10:00
,九江,17.57,,0.05,45900,--,20.00,23.25,2021-09-03 10:00
,三峡水库,158.81,,-0.09,27400(出),--,--,--,2021-09-03 10:00
洞庭湖,城陵矶,30.37,,0.00,11500,--,33.00,34.55,2021-09-03 10:00
鄱阳湖,湖口,16.96,,0.06,788,--,19.50,22.50,2021-09-03 10:00
湘江,湘潭,31.77,缺测,-0.01,1140,--,38.00,39.50,2021-09-03 10:00
资水,桃江,33.52,,0.01,734,--,39.20,42.30,2021-09-03 10:00
沅水,桃源,33.72,,-0.14,2710,--,42.50,45.40,2021-09-03 10:00
澧水,石门,50.94,,0.15,254,--,58.50,61.00,2021-09-03 10:00
松滋河,新江口,41.08,,-0.05,2450,43.00,44.00,45.77,2021-09-03 10:00
,沙道观,40.91,,-0.06,820,43.00,44.00,45.21,2021-09-03 10:00
藕池河,管家铺,35.56,,-0.03,1390,37.50,38.50,39.50,2021-09-03 10:00
,康家岗,35.30,,-0.06,42.0,37.50,38.50,39.87,2021-09-03 10:00
虎渡河,弥陀寺,39.05,,-0.05,755,42.00,43.00,44.15,2021-09-03 10:00
长湖,长湖,30.89,,-0.02,,31.50,32.50,33.50,2021-09-03 10:00
洪湖,挖沟咀,25.47,,0.01,,25.80,26.20,27.00,2021-09-03 10:00
刁汊湖,五房台,24.15,,0.04,,--,24.80,26.00,2021-09-03 10:00
斧头湖,三洲,21.94,,-0.04,,21.50,22.80,23.94,2021-09-03 10:00
梁子湖,梁子镇,19.17,,-0.01,,19.00,20.50,21.36,2021-09-03 10:00
汉江,安康,239.33,,-1.59,3000,--,--,--,2021-09-03 10:00
,白河,179.91,,-2.84,5600,--,187.00,191.00,2021-09-03 10:00
,黄家港,93.67,,0.39,8460,--,--,--,2021-09-03 10:00
,襄阳,65.83,,0.11,,65.50,67.00,70.00,2021-09-03 10:00
,宜城,56.75,,-0.46,,56.50,57.50,59.30,2021-09-03 10:00
,皇庄,47.99,,-0.27,10200,47.00,48.00,50.62,2021-09-03 10:00
,沙洋,41.99,,0.15,,40.80,41.80,44.50,2021-09-03 10:00
,岳口,38.00,,0.46,,36.90,37.90,40.62,2021-09-03 10:00
,仙桃,35.20,,0.42,8280,34.10,35.10,36.20,2021-09-03 10:00
,汉川,30.13,,0.39,,28.00,29.00,31.69,2021-09-03 10:00
,丹江口水库,165.91,,0.34,"9580(入)
8680(出)",--,--,--,2021-09-03 10:00
清江,水布垭,395.80,,-0.48,"426(入)
1030(出)",--,--,--,2021-09-03 10:00
,隔河岩,195.84,,-0.03,"855(入)
879(出)",--,--,--,2021-09-03 10:00
沮漳河,河溶,41.64,,-0.67,138,47.50,48.50,50.00,2021-09-03 10:00
东荆河,潜江,39.31,,0.38,2220,38.40,39.70,42.11,2021-09-03 10:00
汉北河,天门,24.55,,0.03,63.0,28.30,29.30,30.00,2021-09-03 10:00
大富水,应城,24.14,,0.00,44.5,27.50,29.00,33.00,2021-09-03 10:00
环水,花园,32.64,,-0.04,21.1,--,37.50,39.95,2021-09-03 10:00
,孝感,24.54,,0.02,,26.50,27.50,31.00,2021-09-03 10:00
府河,隔蒲潭,24.79,,-0.10,187,29.50,30.50,33.50,2021-09-03 10:00
府澴河,卧龙潭,24.10,,0.02,,26.50,27.00,29.69,2021-09-03 10:00
富水,阳新,19.25,,0.04,,20.50,21.70,23.00,2021-09-03 10:00
滠水,黄陂,24.17,,0.05,,25.00,26.00,29.31,2021-09-03 10:00
倒水,李家集,24.40,,0.04,,26.30,28.00,30.73,2021-09-03 10:00
举水,柳子港,23.52,,-0.02,69.3,28.00,29.00,33.11,2021-09-03 10:00
巴水,马家潭,21.62,,0.05,220,--,--,--,2021-09-03 10:00
蕲水,西河驿,20.21,,0.07,162,--,--,--,2021-09-03 10:00
